regime,condition,model,dimension,negative_set,n_pos,n_neg,auc,auc_lo,auc_hi
lat,3-2,openai,3072,ns,150,150,0.9959,0.9879,0.9997
lat,3-2,openai,3072,ns_similar,150,150,0.9056,0.8664,0.9405
lat,3-2,openai,3072,ns_similar_nb,150,150,0.9618,0.9406,0.98
lat,3-2,openai,1536,ns,150,150,0.9944,0.9854,0.9996
lat,3-2,openai,1536,ns_similar,150,150,0.8933,0.8542,0.9312
lat,3-2,openai,1536,ns_similar_nb,150,150,0.9557,0.9312,0.9773
lat,3-2,openai,768,ns,150,150,0.996,0.9899,0.9995
lat,3-2,openai,768,ns_similar,150,150,0.8863,0.8486,0.9237
lat,3-2,openai,768,ns_similar_nb,150,150,0.9554,0.9293,0.9758
lat,3-2,gemini,3072,ns,150,150,1.0,1.0,1.0
lat,3-2,gemini,3072,ns_similar,150,150,0.986,0.9659,0.9994
lat,3-2,gemini,3072,ns_similar_nb,150,150,0.9964,0.9891,1.0
lat,3-2,gemini,1536,ns,150,150,1.0,1.0,1.0
lat,3-2,gemini,1536,ns_similar,150,150,0.986,0.9683,0.9993
lat,3-2,gemini,1536,ns_similar_nb,150,150,0.9964,0.9884,1.0
lat,3-2,gemini,768,ns,150,150,1.0,1.0,1.0
lat,3-2,gemini,768,ns_similar,150,150,0.9857,0.9677,0.9994
lat,3-2,gemini,768,ns_similar_nb,150,150,0.9962,0.9879,1.0
lat,3-3,openai,3072,ns,150,150,0.9975,0.9929,0.9999
lat,3-3,openai,3072,ns_similar,150,150,0.9444,0.917,0.9672
lat,3-3,openai,3072,ns_similar_nb,150,150,0.9677,0.9471,0.9832
lat,3-3,openai,1536,ns,150,150,0.9966,0.9908,0.9997
lat,3-3,openai,1536,ns_similar,150,150,0.9378,0.9076,0.9637
lat,3-3,openai,1536,ns_similar_nb,150,150,0.9619,0.942,0.9796
lat,3-3,openai,768,ns,150,150,0.9967,0.992,0.9997
lat,3-3,openai,768,ns_similar,150,150,0.934,0.9049,0.9611
lat,3-3,openai,768,ns_similar_nb,150,150,0.9622,0.9408,0.9798
lat,3-3,gemini,3072,ns,150,150,1.0,1.0,1.0
lat,3-3,gemini,3072,ns_similar,150,150,0.9995,0.9984,1.0
lat,3-3,gemini,3072,ns_similar_nb,150,150,0.9999,0.9996,1.0
lat,3-3,gemini,1536,ns,150,150,1.0,1.0,1.0
lat,3-3,gemini,1536,ns_similar,150,150,0.9995,0.9984,1.0
lat,3-3,gemini,1536,ns_similar_nb,150,150,0.9999,0.9996,1.0
lat,3-3,gemini,768,ns,150,150,1.0,1.0,1.0
lat,3-3,gemini,768,ns_similar,150,150,0.9994,0.9983,1.0
lat,3-3,gemini,768,ns_similar_nb,150,150,0.9998,0.9992,1.0
icao,3-2,openai,3072,ns,151,150,0.9583,0.9336,0.9785
icao,3-2,openai,3072,ns_similar,151,150,0.6673,0.6057,0.7273
icao,3-2,openai,3072,ns_similar_nb,151,150,0.8248,0.7772,0.8699
icao,3-2,openai,1536,ns,151,150,0.9551,0.9313,0.9766
icao,3-2,openai,1536,ns_similar,151,150,0.6543,0.5867,0.7155
icao,3-2,openai,1536,ns_similar_nb,151,150,0.8147,0.7676,0.8643
icao,3-2,openai,768,ns,151,150,0.9513,0.9276,0.9721
icao,3-2,openai,768,ns_similar,151,150,0.6592,0.5941,0.72
icao,3-2,openai,768,ns_similar_nb,151,150,0.8173,0.769,0.8642
icao,3-2,gemini,3072,ns,151,150,0.9994,0.9982,1.0
icao,3-2,gemini,3072,ns_similar,151,150,0.9475,0.9183,0.9736
icao,3-2,gemini,3072,ns_similar_nb,151,150,0.9831,0.9681,0.9953
icao,3-2,gemini,1536,ns,151,150,0.9994,0.9982,1.0
icao,3-2,gemini,1536,ns_similar,151,150,0.9475,0.9164,0.9724
icao,3-2,gemini,1536,ns_similar_nb,151,150,0.9832,0.9658,0.9947
icao,3-2,gemini,768,ns,151,150,0.9994,0.9981,1.0
icao,3-2,gemini,768,ns_similar,151,150,0.9455,0.914,0.9729
icao,3-2,gemini,768,ns_similar_nb,151,150,0.9819,0.965,0.9938
icao,3-3,openai,3072,ns,151,150,0.9635,0.9395,0.983
icao,3-3,openai,3072,ns_similar,151,150,0.7645,0.7116,0.8177
icao,3-3,openai,3072,ns_similar_nb,151,150,0.8474,0.798,0.8938
icao,3-3,openai,1536,ns,151,150,0.9575,0.9336,0.9806
icao,3-3,openai,1536,ns_similar,151,150,0.7509,0.6996,0.806
icao,3-3,openai,1536,ns_similar_nb,151,150,0.836,0.7892,0.8796
icao,3-3,openai,768,ns,151,150,0.9588,0.9327,0.9799
icao,3-3,openai,768,ns_similar,151,150,0.7532,0.7005,0.8077
icao,3-3,openai,768,ns_similar_nb,151,150,0.8447,0.8002,0.8875
icao,3-3,gemini,3072,ns,151,150,0.9998,0.9992,1.0
icao,3-3,gemini,3072,ns_similar,151,150,0.9773,0.9585,0.9933
icao,3-3,gemini,3072,ns_similar_nb,151,150,0.9924,0.9815,0.9992
icao,3-3,gemini,1536,ns,151,150,0.9998,0.9993,1.0
icao,3-3,gemini,1536,ns_similar,151,150,0.9779,0.9584,0.9925
icao,3-3,gemini,1536,ns_similar_nb,151,150,0.9924,0.9817,0.9994
icao,3-3,gemini,768,ns,151,150,0.9997,0.9991,1.0
icao,3-3,gemini,768,ns_similar,151,150,0.9765,0.9575,0.9918
icao,3-3,gemini,768,ns_similar_nb,151,150,0.9921,0.9812,0.9995
french,3-2,openai,3072,ns,151,150,0.8698,0.8266,0.9075
french,3-2,openai,3072,ns_similar,151,150,0.4998,0.4322,0.5669
