model,dimension,requests,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,max_ms,iqr_ms
gemini,3072,2125,266,281,304,388,511,987,38
gemini,1536,2116,255,269,284,336,409,923,29
gemini,768,2125,250,267,296,563,576,25338,46
gemini,512,300,262,276,297,358,411,893,35
gemini,128,300,265,279,296,352,421,1030,31
openai,3072,2125,172,198,226,286,776,2328,53
openai,1536,2116,152,168,182,233,395,1826,29
openai,768,2125,152,166,180,239,520,2602,28
openai,512,300,139,145,153,170,264,778,14
openai,128,300,148,158,166,188,293,2058,18
openai,all,6966,154,171,193,267,494,2602,39
gemini,all,6966,257,273,295,389,571,25338,38
