regime,condition,model,dimension,queries,entities,recall1_query,recall1_query_lo,recall1_query_hi,recall1_entity,recall1_entity_lo,recall1_entity_hi,recall5_query,recall5_query_lo,recall5_query_hi,recall5_entity,recall5_entity_lo,recall5_entity_hi,mrr_query,mrr_entity,mrr_entity_lo,mrr_entity_hi
lat,3-2,openai,3072,150,150,0.9933,0.9632,0.9988,0.9933,0.98,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.9967,0.9967,0.99,1.0
lat,3-2,openai,1536,150,150,0.9867,0.9527,0.9963,0.9867,0.9667,1.0,0.9933,0.9632,0.9988,0.9933,0.98,1.0,0.99,0.99,0.9733,1.0
lat,3-2,openai,768,150,150,0.9933,0.9632,0.9988,0.9933,0.98,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.9967,0.9967,0.99,1.0
lat,3-2,gemini,3072,150,150,0.9933,0.9632,0.9988,0.9933,0.98,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.9967,0.9967,0.99,1.0
lat,3-2,gemini,1536,150,150,0.9933,0.9632,0.9988,0.9933,0.98,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.9967,0.9967,0.99,1.0
lat,3-2,gemini,768,150,150,0.9933,0.9632,0.9988,0.9933,0.98,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.9967,0.9967,0.99,1.0
lat,3-3,openai,3072,150,150,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lat,3-3,openai,1536,150,150,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lat,3-3,openai,768,150,150,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lat,3-3,gemini,3072,150,150,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lat,3-3,gemini,1536,150,150,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lat,3-3,gemini,768,150,150,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icao,3-2,openai,3072,151,150,0.9205,0.8662,0.954,0.92,0.8733,0.96,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9459,0.9456,0.9122,0.9733
icao,3-2,openai,1536,151,150,0.9139,0.8583,0.949,0.9133,0.8667,0.9533,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9395,0.9391,0.904,0.9722
icao,3-2,openai,768,151,150,0.9007,0.8426,0.9389,0.9,0.8533,0.9467,0.9603,0.916,0.9817,0.96,0.9267,0.9867,0.9283,0.9278,0.8878,0.9622
icao,3-2,gemini,3072,151,150,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9801,0.98,0.9567,0.9967
icao,3-2,gemini,1536,151,150,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9801,0.98,0.9567,0.9967
icao,3-2,gemini,768,151,150,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9801,0.98,0.9567,0.9967
icao,3-3,openai,3072,151,150,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9801,0.9432,0.9932,0.98,0.9533,1.0,0.9768,0.9767,0.9533,0.9967
icao,3-3,openai,1536,151,150,0.9603,0.916,0.9817,0.96,0.9267,0.9867,0.9735,0.9339,0.9897,0.9733,0.9467,0.9933,0.9669,0.9667,0.9367,0.99
icao,3-3,openai,768,151,150,0.947,0.8989,0.9729,0.9467,0.9067,0.98,0.9801,0.9432,0.9932,0.98,0.9533,1.0,0.9636,0.9633,0.9333,0.9867
icao,3-3,gemini,3072,151,150,0.9934,0.9634,0.9988,0.9933,0.98,1.0,0.9934,0.9634,0.9988,0.9933,0.98,1.0,0.9934,0.9933,0.98,1.0
icao,3-3,gemini,1536,151,150,0.9934,0.9634,0.9988,0.9933,0.98,1.0,0.9934,0.9634,0.9988,0.9933,0.98,1.0,0.9934,0.9933,0.98,1.0
icao,3-3,gemini,768,151,150,0.9934,0.9634,0.9988,0.9933,0.98,1.0,0.9934,0.9634,0.9988,0.9933,0.98,1.0,0.9934,0.9933,0.98,1.0
french,3-2,openai,3072,151,150,0.8411,0.7744,0.8908,0.84,0.78,0.8933,0.9272,0.8743,0.9588,0.9267,0.8867,0.9667,0.8766,0.8758,0.8251,0.9228
french,3-2,openai,1536,151,150,0.8146,0.7451,0.8685,0.8133,0.7467,0.8733,0.9139,0.8583,0.949,0.9133,0.8667,0.9533,0.8611,0.8602,0.808,0.908
french,3-2,openai,768,151,150,0.7815,0.709,0.8399,0.78,0.7133,0.8467,0.9139,0.8583,0.949,0.9133,0.8667,0.96,0.8383,0.8372,0.785,0.8889
french,3-2,gemini,3072,151,150,0.947,0.8989,0.9729,0.9467,0.9067,0.98,0.9868,0.953,0.9964,0.9867,0.9667,1.0,0.9647,0.9644,0.9378,0.9867
