regime,dataset,query_set,queries,dimension,model,recall_at_1,recall_at_5,mrr,mean_top1_score,median_top1_score,p95_top1_score,mean_gap_r1_r2,median_duration_ms
non_sanctioned,ns,3-2,150,128,gemini,,,,0.9509,0.9507,0.9629,0.0031,279.7
non_sanctioned,ns,3-2,150,512,gemini,,,,0.8871,0.8859,0.919,0.0076,274.7
non_sanctioned,ns,3-2,150,768,gemini,,,,0.8939,0.8927,0.9223,0.0075,310.1
non_sanctioned,ns,3-2,150,1536,gemini,,,,0.8899,0.8885,0.9201,0.0077,269.7
non_sanctioned,ns,3-2,150,3072,gemini,,,,0.9003,0.899,0.9291,0.0069,340.2
non_sanctioned,ns,3-2,150,128,openai,,,,0.7143,0.715,0.7814,0.0151,151.9
non_sanctioned,ns,3-2,150,512,openai,,,,0.628,0.633,0.6989,0.0189,145.3
non_sanctioned,ns,3-2,150,768,openai,,,,0.6135,0.6166,0.6896,0.0201,158.7
non_sanctioned,ns,3-2,150,1536,openai,,,,0.5983,0.5998,0.6776,0.0205,167.0
non_sanctioned,ns,3-2,150,3072,openai,,,,0.5828,0.5844,0.6599,0.0208,175.9
non_sanctioned,ns,3-3,150,128,gemini,,,,0.9495,0.9488,0.9595,0.0036,277.2
non_sanctioned,ns,3-3,150,512,gemini,,,,0.8842,0.8828,0.9151,0.0076,277.5
non_sanctioned,ns,3-3,150,768,gemini,,,,0.8901,0.8886,0.9188,0.0073,312.5
non_sanctioned,ns,3-3,150,1536,gemini,,,,0.8857,0.8842,0.9179,0.0074,281.0
non_sanctioned,ns,3-3,150,3072,gemini,,,,0.8966,0.8952,0.9254,0.0066,351.4
non_sanctioned,ns,3-3,150,128,openai,,,,0.7058,0.7086,0.7727,0.016,163.0
non_sanctioned,ns,3-3,150,512,openai,,,,0.6233,0.6222,0.6928,0.021,145.3
non_sanctioned,ns,3-3,150,768,openai,,,,0.6103,0.6068,0.6803,0.0223,164.9
non_sanctioned,ns,3-3,150,1536,openai,,,,0.5914,0.5852,0.6741,0.0213,160.4
non_sanctioned,ns,3-3,150,3072,openai,,,,0.5769,0.5707,0.6634,0.0229,191.2
non_sanctioned,ns_similar,3-2,150,768,gemini,,,,0.9339,0.9336,0.9555,0.0072,272.8
non_sanctioned,ns_similar,3-2,150,1536,gemini,,,,0.9315,0.9308,0.9533,0.0073,273.5
non_sanctioned,ns_similar,3-2,150,3072,gemini,,,,0.938,0.9376,0.958,0.0066,282.8
non_sanctioned,ns_similar,3-2,150,768,openai,,,,0.708,0.7155,0.7901,0.0264,167.5
non_sanctioned,ns_similar,3-2,150,1536,openai,,,,0.699,0.7036,0.788,0.0278,179.6
non_sanctioned,ns_similar,3-2,150,3072,openai,,,,0.6858,0.688,0.7747,0.0284,194.4
non_sanctioned,ns_similar,3-3,150,768,gemini,,,,0.9308,0.9296,0.948,0.0074,280.9
non_sanctioned,ns_similar,3-3,150,1536,gemini,,,,0.9281,0.9271,0.9452,0.0074,273.4
non_sanctioned,ns_similar,3-3,150,3072,gemini,,,,0.9349,0.934,0.9504,0.0067,276.5
non_sanctioned,ns_similar,3-3,150,768,openai,,,,0.6988,0.7021,0.7938,0.0306,168.5
non_sanctioned,ns_similar,3-3,150,1536,openai,,,,0.6861,0.6871,0.7749,0.032,165.5
non_sanctioned,ns_similar,3-3,150,3072,openai,,,,0.6743,0.6754,0.7617,0.0339,187.8
non_sanctioned,ns_similar_nb,3-2,150,768,gemini,,,,0.9146,0.9159,0.9436,0.0078,261.4
non_sanctioned,ns_similar_nb,3-2,150,1536,gemini,,,,0.9114,0.9121,0.9401,0.0081,271.5
non_sanctioned,ns_similar_nb,3-2,150,3072,gemini,,,,0.9197,0.9203,0.9454,0.0073,282.2
non_sanctioned,ns_similar_nb,3-2,150,768,openai,,,,0.666,0.6661,0.7532,0.0258,158.6
non_sanctioned,ns_similar_nb,3-2,150,1536,openai,,,,0.656,0.6549,0.7564,0.0283,163.7
non_sanctioned,ns_similar_nb,3-2,150,3072,openai,,,,0.6421,0.6427,0.7458,0.0295,199.8
non_sanctioned,ns_similar_nb,3-3,150,768,gemini,,,,0.9142,0.9151,0.9367,0.0083,262.6
non_sanctioned,ns_similar_nb,3-3,150,1536,gemini,,,,0.9109,0.9119,0.9338,0.0085,270.9
non_sanctioned,ns_similar_nb,3-3,150,3072,gemini,,,,0.9193,0.9202,0.94,0.0077,289.3
non_sanctioned,ns_similar_nb,3-3,150,768,openai,,,,0.6709,0.6644,0.7845,0.0252,164.4
non_sanctioned,ns_similar_nb,3-3,150,1536,openai,,,,0.6576,0.6531,0.7741,0.0265,175.4
