model,dimension,query_set,positive_set,negative_set,negative_difficulty,n_pos,n_neg,auc,recall_at_fpr_0.001,recall_at_fpr_0.01,recall_at_fpr_0.05,recall_at_fpr_0.1,fpr_at_recall_0.99,fpr_at_recall_0.95,fpr_at_recall_0.9
gemini,768,3-2,french,ns,easy,151,150,0.9923,0.8212,0.9205,0.947,0.9735,0.1733,0.0533,0.0067
gemini,768,3-2,french,ns_similar,hard,151,150,0.8495,0.0,0.0,0.5762,0.7219,0.9867,0.86,0.4267
gemini,768,3-2,french,ns_similar_nb,hard,151,150,0.941,0.0066,0.3576,0.8013,0.8874,0.6867,0.3467,0.12
gemini,768,3-2,icao,ns,easy,151,150,0.9994,0.9404,0.9801,1.0,1.0,0.02,0.0067,0.0
gemini,768,3-2,icao,ns_similar,hard,151,150,0.9455,0.0,0.0,0.9073,0.9338,0.7,0.32,0.0467
gemini,768,3-2,icao,ns_similar_nb,hard,151,150,0.9819,0.0397,0.7152,0.9404,0.9669,0.2667,0.0733,0.02
gemini,768,3-2,lat,ns,easy,150,150,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
gemini,768,3-2,lat,ns_similar,hard,150,150,0.9857,0.1267,0.1267,0.9933,1.0,0.0467,0.02,0.02
gemini,768,3-2,lat,ns_similar_nb,hard,150,150,0.9962,0.4667,0.9733,1.0,1.0,0.02,0.0067,0.0067
gemini,768,3-2,rus_ukr,ns,easy,156,150,0.9894,0.5897,0.8397,0.9359,0.9744,0.14,0.08,0.02
gemini,768,3-2,rus_ukr,ns_similar,hard,156,150,0.7479,0.0,0.0,0.3077,0.4936,0.98,0.9067,0.6867
gemini,768,3-2,rus_ukr,ns_similar_nb,hard,156,150,0.9085,0.0,0.1603,0.5513,0.7628,0.64,0.38,0.2533
gemini,768,3-3,french,ns,easy,151,150,0.9978,0.9007,0.9603,0.9868,1.0,0.08,0.0067,0.0
gemini,768,3-3,french,ns_similar,hard,151,150,0.9229,0.0596,0.0596,0.8212,0.8742,0.94,0.42,0.1733
gemini,768,3-3,french,ns_similar_nb,hard,151,150,0.9683,0.0596,0.3974,0.9139,0.947,0.5333,0.12,0.02
gemini,768,3-3,icao,ns,easy,151,150,0.9997,0.9801,0.9934,1.0,1.0,0.0067,0.0,0.0
gemini,768,3-3,icao,ns_similar,hard,151,150,0.9765,0.3046,0.3377,0.9536,0.9669,0.2733,0.0467,0.02
gemini,768,3-3,icao,ns_similar_nb,hard,151,150,0.9921,0.3709,0.8344,0.9868,0.9934,0.06,0.02,0.0133
gemini,768,3-3,lat,ns,easy,150,150,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
gemini,768,3-3,lat,ns_similar,hard,150,150,0.9994,0.9533,0.9667,1.0,1.0,0.02,0.0,0.0
gemini,768,3-3,lat,ns_similar_nb,hard,150,150,0.9998,0.9667,1.0,1.0,1.0,0.0067,0.0,0.0
gemini,768,3-3,rus_ukr,ns,easy,156,150,0.9941,0.8205,0.9359,0.9744,0.9872,0.16,0.0267,0.0067
gemini,768,3-3,rus_ukr,ns_similar,hard,156,150,0.8729,0.0192,0.0192,0.5833,0.7308,0.9933,0.76,0.3067
gemini,768,3-3,rus_ukr,ns_similar_nb,hard,156,150,0.9494,0.0256,0.1538,0.8526,0.9167,0.7133,0.2933,0.08
gemini,1536,3-2,french,ns,easy,151,150,0.9925,0.8212,0.9205,0.9536,0.9735,0.18,0.0467,0.0067
gemini,1536,3-2,french,ns_similar,hard,151,150,0.8509,0.0,0.0,0.5762,0.7086,0.9867,0.8733,0.4667
gemini,1536,3-2,french,ns_similar_nb,hard,151,150,0.9426,0.0066,0.3444,0.8212,0.894,0.6933,0.32,0.1133
gemini,1536,3-2,icao,ns,easy,151,150,0.9994,0.947,0.9801,1.0,1.0,0.02,0.0067,0.0
gemini,1536,3-2,icao,ns_similar,hard,151,150,0.9475,0.0066,0.0066,0.9007,0.9272,0.6533,0.34,0.0467
gemini,1536,3-2,icao,ns_similar_nb,hard,151,150,0.9832,0.0464,0.7152,0.947,0.9669,0.2267,0.08,0.02
gemini,1536,3-2,lat,ns,easy,150,150,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
gemini,1536,3-2,lat,ns_similar,hard,150,150,0.986,0.1267,0.1267,1.0,1.0,0.04,0.02,0.02
gemini,1536,3-2,lat,ns_similar_nb,hard,150,150,0.9964,0.5,0.98,1.0,1.0,0.02,0.0067,0.0067
gemini,1536,3-2,rus_ukr,ns,easy,156,150,0.9896,0.5705,0.8333,0.9423,0.9808,0.1467,0.0667,0.02
gemini,1536,3-2,rus_ukr,ns_similar,hard,156,150,0.7443,0.0,0.0,0.3141,0.4615,0.9867,0.8933,0.7133
gemini,1536,3-2,rus_ukr,ns_similar_nb,hard,156,150,0.9106,0.0,0.1603,0.5705,0.75,0.64,0.3533,0.2533
gemini,1536,3-3,french,ns,easy,151,150,0.9976,0.9073,0.9536,0.9801,1.0,0.08,0.0067,0.0
gemini,1536,3-3,french,ns_similar,hard,151,150,0.9258,0.0596,0.0795,0.8411,0.8675,0.9067,0.3933,0.1667
gemini,1536,3-3,french,ns_similar_nb,hard,151,150,0.9695,0.0861,0.3907,0.9205,0.9536,0.5067,0.1,0.02
gemini,1536,3-3,icao,ns,easy,151,150,0.9998,0.9868,0.9934,1.0,1.0,0.0067,0.0,0.0
gemini,1536,3-3,icao,ns_similar,hard,151,150,0.9779,0.3311,0.3775,0.9603,0.9669,0.2867,0.0333,0.02
gemini,1536,3-3,icao,ns_similar_nb,hard,151,150,0.9924,0.3974,0.8278,0.9868,0.9934,0.0667,0.02,0.0133
gemini,1536,3-3,lat,ns,easy,150,150,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
gemini,1536,3-3,lat,ns_similar,hard,150,150,0.9995,0.9667,0.9733,1.0,1.0,0.02,0.0,0.0
gemini,1536,3-3,lat,ns_similar_nb,hard,150,150,0.9999,0.9867,1.0,1.0,1.0,0.0067,0.0,0.0
gemini,1536,3-3,rus_ukr,ns,easy,156,150,0.9943,0.8269,0.9359,0.9615,0.9872,0.1267,0.02,0.0067
gemini,1536,3-3,rus_ukr,ns_similar,hard,156,150,0.8765,0.0192,0.0321,0.5833,0.7179,0.9933,0.72,0.3267
gemini,1536,3-3,rus_ukr,ns_similar_nb,hard,156,150,0.9517,0.0321,0.1538,0.8654,0.9231,0.68,0.2467,0.0867
gemini,3072,3-2,french,ns,easy,151,150,0.9922,0.8212,0.9139,0.947,0.9735,0.18,0.0533,0.0067
gemini,3072,3-2,french,ns_similar,hard,151,150,0.8511,0.0,0.0,0.5695,0.7219,0.9867,0.8667,0.48
gemini,3072,3-2,french,ns_similar_nb,hard,151,150,0.9422,0.0066,0.3642,0.8212,0.8874,0.68,0.3067,0.1133
gemini,3072,3-2,icao,ns,easy,151,150,0.9994,0.947,0.9801,1.0,1.0,0.02,0.0067,0.0
gemini,3072,3-2,icao,ns_similar,hard,151,150,0.9475,0.0066,0.0066,0.9007,0.9338,0.68,0.3133,0.0467
gemini,3072,3-2,icao,ns_similar_nb,hard,151,150,0.9831,0.0464,0.7219,0.947,0.9669,0.2333,0.0733,0.02
gemini,3072,3-2,lat,ns,easy,150,150,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
gemini,3072,3-2,lat,ns_similar,hard,150,150,0.986,0.1333,0.1333,1.0,1.0,0.04,0.02,0.02
gemini,3072,3-2,lat,ns_similar_nb,hard,150,150,0.9964,0.4933,0.98,1.0,1.0,0.02,0.0067,0.0067
gemini,3072,3-2,rus_ukr,ns,easy,156,150,0.9894,0.5897,0.8141,0.9295,0.9808,0.14,0.06,0.02
gemini,3072,3-2,rus_ukr,ns_similar,hard,156,150,0.7453,0.0,0.0,0.3141,0.4615,0.98,0.8933,0.72
gemini,3072,3-2,rus_ukr,ns_similar_nb,hard,156,150,0.9116,0.0,0.1667,0.5897,0.7436,0.6067,0.3267,0.2533
