regime,condition,model,dimension,negative_set,calibration_recall_floor,threshold,n_pos_calib,n_neg_calib,n_pos_test,n_neg_test,recall_test,recall_test_lo,recall_test_hi,fpr_test,fpr_test_lo,fpr_test_hi
lat,3-2,openai,3072,ns,0.95,0.6857,75,75,75,75,0.9733,0.9079,0.9927,0.0,0.0,0.0487
lat,3-2,openai,3072,ns_similar,0.95,0.682,75,75,75,75,0.9867,0.9283,0.9976,0.4267,0.321,0.5395
lat,3-2,gemini,3072,ns,0.95,0.974,75,75,75,75,0.8933,0.8034,0.945,0.0,0.0,0.0487
lat,3-2,gemini,3072,ns_similar,0.95,0.974,75,75,75,75,0.9067,0.8197,0.9541,0.0267,0.0073,0.0921
lat,3-3,openai,3072,ns,0.95,0.6785,75,75,75,75,1.0,0.9513,1.0,0.04,0.0137,0.1111
lat,3-3,openai,3072,ns_similar,0.95,0.6941,75,75,75,75,0.9733,0.9079,0.9927,0.4,0.2966,0.5131
lat,3-3,gemini,3072,ns,0.95,0.9856,75,75,75,75,0.9333,0.8532,0.9712,0.0,0.0,0.0487
lat,3-3,gemini,3072,ns_similar,0.95,0.9856,75,75,75,75,0.9333,0.8532,0.9712,0.0,0.0,0.0487
icao,3-2,openai,3072,ns,0.95,0.6204,75,75,76,75,0.9737,0.909,0.9928,0.2667,0.1798,0.3763
icao,3-2,openai,3072,ns_similar,0.95,0.6204,75,75,76,75,0.9737,0.909,0.9928,0.9467,0.8707,0.9791
icao,3-2,gemini,3072,ns,0.95,0.9417,75,75,76,75,0.9474,0.8723,0.9793,0.0,0.0,0.0487
icao,3-2,gemini,3072,ns_similar,0.95,0.9405,75,75,76,75,0.9737,0.909,0.9928,0.3867,0.2846,0.4998
icao,3-3,openai,3072,ns,0.95,0.6139,75,75,76,75,0.9474,0.8723,0.9793,0.2,0.1251,0.3041
icao,3-3,openai,3072,ns_similar,0.95,0.5678,75,75,76,75,1.0,0.9519,1.0,0.9867,0.9283,0.9976
icao,3-3,gemini,3072,ns,0.95,0.9536,75,75,76,75,0.9342,0.8551,0.9716,0.0,0.0,0.0487
icao,3-3,gemini,3072,ns_similar,0.95,0.9525,75,75,76,75,0.9474,0.8723,0.9793,0.0533,0.0209,0.1293
french,3-2,openai,3072,ns,0.95,0.5481,75,75,76,75,0.9868,0.9292,0.9977,0.7867,0.6812,0.8642
french,3-2,openai,3072,ns_similar,0.95,0.5743,75,75,76,75,0.9211,0.8383,0.9633,0.96,0.8889,0.9863
french,3-2,gemini,3072,ns,0.95,0.9152,75,75,76,75,1.0,0.9519,1.0,0.1733,0.1042,0.2743
french,3-2,gemini,3072,ns_similar,0.95,0.9261,75,75,76,75,0.9605,0.8903,0.9865,0.88,0.7874,0.9356
french,3-3,openai,3072,ns,0.95,0.5464,75,75,76,75,0.9474,0.8723,0.9793,0.7467,0.6379,0.8314
french,3-3,openai,3072,ns_similar,0.95,0.5739,75,75,76,75,0.8684,0.7745,0.9269,0.9467,0.8707,0.9791
french,3-3,gemini,3072,ns,0.95,0.9334,75,75,76,75,0.9605,0.8903,0.9865,0.0267,0.0073,0.0921
french,3-3,gemini,3072,ns_similar,0.95,0.9327,75,75,76,75,0.9737,0.909,0.9928,0.6,0.4869,0.7034
rus_ukr,3-2,openai,3072,ns,0.95,0.5593,78,75,78,75,0.9487,0.8754,0.9799,0.6267,0.5135,0.7274
rus_ukr,3-2,openai,3072,ns_similar,0.95,0.558,78,75,78,75,0.9615,0.8929,0.9868,0.9867,0.9283,0.9976
rus_ukr,3-2,gemini,3072,ns,0.95,0.9254,78,75,78,75,0.9615,0.8929,0.9868,0.0533,0.0209,0.1293
rus_ukr,3-2,gemini,3072,ns_similar,0.95,0.9214,78,75,78,75,0.9872,0.9309,0.9977,0.9467,0.8707,0.9791
rus_ukr,3-3,openai,3072,ns,0.95,0.5527,78,75,78,75,0.9359,0.8586,0.9723,0.6533,0.5405,0.7512
rus_ukr,3-3,openai,3072,ns_similar,0.95,0.5557,78,75,78,75,0.8846,0.795,0.9381,0.9867,0.9283,0.9976
rus_ukr,3-3,gemini,3072,ns,0.95,0.9261,78,75,78,75,0.9744,0.9112,0.9929,0.0533,0.0209,0.1293
rus_ukr,3-3,gemini,3072,ns_similar,0.95,0.9292,78,75,78,75,0.9487,0.8754,0.9799,0.6933,0.5817,0.7861
