model,dimension,query_set,positive_set,negative_set,n_pos,n_neg,auc,thr_at_fpr1pct,recall_at_fpr1pct,thr_at_recall99pct,fpr_at_recall99pct,youden_thr,youden_tpr,youden_fpr
gemini,768,3-2,french,ns,151,150,0.9923,0.931,0.9205,0.9061,0.1733,0.9261,0.9404,0.02
gemini,768,3-2,french,ns_similar,151,150,0.8495,1.9871,0.0,0.9061,0.9867,0.9443,0.8013,0.1467
gemini,768,3-2,french,ns_similar_nb,151,150,0.941,0.9639,0.3576,0.9061,0.6867,0.9366,0.8808,0.08
gemini,768,3-2,icao,ns,151,150,0.9994,0.9334,0.9801,0.9272,0.02,0.9267,1.0,0.02
gemini,768,3-2,icao,ns_similar,151,150,0.9455,1.9871,0.0,0.9272,0.7,0.9558,0.9073,0.0467
gemini,768,3-2,icao,ns_similar_nb,151,150,0.9819,0.9642,0.7152,0.9272,0.2667,0.9501,0.9272,0.02
gemini,768,3-2,lat,ns,150,150,1.0,0.9417,1.0,0.959,0.0,0.9553,1.0,0.0
gemini,768,3-2,lat,ns_similar,150,150,0.9857,0.9871,0.1267,0.959,0.0467,0.9663,0.9733,0.0267
gemini,768,3-2,lat,ns_similar_nb,150,150,0.9962,0.9663,0.9733,0.959,0.02,0.9553,1.0,0.02
gemini,768,3-2,rus_ukr,ns,156,150,0.9894,0.9312,0.8397,0.9093,0.14,0.9254,0.9231,0.02
gemini,768,3-2,rus_ukr,ns_similar,156,150,0.7479,1.9871,0.0,0.9093,0.98,0.9403,0.6538,0.2067
gemini,768,3-2,rus_ukr,ns_similar_nb,156,150,0.9085,0.9643,0.1603,0.9093,0.64,0.9312,0.8397,0.1667
gemini,768,3-3,french,ns,151,150,0.9978,0.9303,0.9603,0.9137,0.08,0.9267,0.9735,0.0133
gemini,768,3-3,french,ns_similar,151,150,0.9229,0.9838,0.0596,0.9137,0.94,0.9449,0.8675,0.0733
gemini,768,3-3,french,ns_similar_nb,151,150,0.9683,0.9688,0.3974,0.9137,0.5333,0.9399,0.9007,0.02
gemini,768,3-3,icao,ns,151,150,0.9997,0.9359,0.9934,0.9359,0.0067,0.9359,0.9934,0.0067
gemini,768,3-3,icao,ns_similar,151,150,0.9765,0.9832,0.3377,0.9359,0.2733,0.9541,0.9404,0.0267
gemini,768,3-3,icao,ns_similar_nb,151,150,0.9921,0.9685,0.8344,0.9359,0.06,0.9406,0.9801,0.02
gemini,768,3-3,lat,ns,150,150,1.0,0.9393,1.0,0.9778,0.0,0.9751,1.0,0.0
gemini,768,3-3,lat,ns_similar,150,150,0.9994,0.9837,0.9667,0.9778,0.02,0.9751,1.0,0.02
gemini,768,3-3,lat,ns_similar_nb,150,150,0.9998,0.9751,1.0,0.9778,0.0067,0.9751,1.0,0.0067
gemini,768,3-3,rus_ukr,ns,156,150,0.9941,0.9301,0.9359,0.9031,0.16,0.9301,0.9359,0.0067
gemini,768,3-3,rus_ukr,ns_similar,156,150,0.8729,0.9838,0.0192,0.9031,0.9933,0.9428,0.7628,0.12
gemini,768,3-3,rus_ukr,ns_similar_nb,156,150,0.9494,0.9688,0.1538,0.9031,0.7133,0.9358,0.891,0.06
gemini,1536,3-2,french,ns,151,150,0.9925,0.9287,0.9205,0.9022,0.18,0.9287,0.9205,0.0067
gemini,1536,3-2,french,ns_similar,151,150,0.8509,1.9863,0.0,0.9022,0.9867,0.9415,0.8079,0.16
gemini,1536,3-2,french,ns_similar_nb,151,150,0.9426,0.9631,0.3444,0.9022,0.6933,0.9339,0.8874,0.08
gemini,1536,3-2,icao,ns,151,150,0.9994,0.9321,0.9801,0.9264,0.02,0.9257,1.0,0.02
gemini,1536,3-2,icao,ns_similar,151,150,0.9475,0.9868,0.0066,0.9264,0.6533,0.9532,0.9139,0.0533
gemini,1536,3-2,icao,ns_similar_nb,151,150,0.9832,0.9626,0.7152,0.9264,0.2267,0.9498,0.9205,0.02
gemini,1536,3-2,lat,ns,150,150,1.0,0.9398,1.0,0.9575,0.0,0.9543,1.0,0.0
gemini,1536,3-2,lat,ns_similar,150,150,0.986,0.9864,0.1267,0.9575,0.04,0.9543,1.0,0.0467
gemini,1536,3-2,lat,ns_similar_nb,150,150,0.9964,0.9629,0.98,0.9575,0.02,0.9543,1.0,0.02
gemini,1536,3-2,rus_ukr,ns,156,150,0.9896,0.9284,0.8333,0.9056,0.1467,0.923,0.9295,0.0267
gemini,1536,3-2,rus_ukr,ns_similar,156,150,0.7443,1.9863,0.0,0.9056,0.9867,0.9392,0.609,0.1933
gemini,1536,3-2,rus_ukr,ns_similar_nb,156,150,0.9106,0.9623,0.1603,0.9056,0.64,0.9315,0.7949,0.12
gemini,1536,3-3,french,ns,151,150,0.9976,0.9299,0.9536,0.9118,0.08,0.9263,0.9669,0.0133
gemini,1536,3-3,french,ns_similar,151,150,0.9258,0.9817,0.0795,0.9118,0.9067,0.9458,0.8344,0.04
gemini,1536,3-3,french,ns_similar_nb,151,150,0.9695,0.9672,0.3907,0.9118,0.5067,0.9378,0.9073,0.02
