queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
NS-LAT-SLAV-33-001,null,Sevastyan Nazarovich,KHRUSHCHANIN,null,KHRUSHCHANIN Sevastyan Nazarovich
NS-LAT-SLAV-33-002,null,Nazar Gavrilovich,KHLUDEYEV,null,KHLUDEYEV Nazar Gavrilovich
NS-LAT-SLAV-33-003,null,Lampiya Mitrofanovna,VAKHRUSHEVA,null,VAKHRUSHEVA Lampiya Mitrofanovna
NS-LAT-SLAV-33-004,null,Khariton Adrianovich,SHANDYBIN,null,SHANDYBIN Khariton Adrianovich
NS-LAT-SLAV-33-005,null,Iraida Yeremeyevna,LYZLOVA,null,LYZLOVA Iraida Yeremeyevna
NS-LAT-SLAV-33-006,null,Aksinya Kiryanovna,KHLYZOVA,null,KHLYZOVA Aksinya Kiryanovna
NS-LAT-SLAV-33-007,null,Khristina Dementyevna,TULUPOVA,null,TULUPOVA Khristina Dementyevna
NS-LAT-SLAV-33-008,null,Feodosiy Fotyevich,YAUNZEM,null,YAUNZEM Feodosiy Fotyevich
NS-LAT-SLAV-33-009,null,Innokentiy Yeliseyevich,ZAKUDRYAYEV,null,ZAKUDRYAYEV Innokentiy Yeliseyevich
NS-LAT-SLAV-33-010,null,Aksinya Samsonovna,ZYUZINA,null,ZYUZINA Aksinya Samsonovna
NS-LAT-SLAV-33-011,null,Klavdiya Zosimichna,OGRYZKOVA,null,OGRYZKOVA Klavdiya Zosimichna
NS-LAT-SLAV-33-012,null,Longin Avksentyevich,BALAKIREV,null,BALAKIREV Longin Avksentyevich
NS-LAT-SLAV-33-013,null,Khariton Arkhipovich,GUZHEVNIKOV,null,GUZHEVNIKOV Khariton Arkhipovich
NS-LAT-SLAV-33-014,null,Gayana Parfenovna,URUSOVA,null,URUSOVA Gayana Parfenovna
NS-LAT-SLAV-33-015,null,Kharitina Prokopovna,CHUBAROVA,null,CHUBAROVA Kharitina Prokopovna
NS-LAT-SLAV-33-016,null,Nestor Kharitonovich,FITINGOF,null,FITINGOF Nestor Kharitonovich
NS-LAT-SLAV-33-017,null,Yevpraksiya Vlasovna,TETERKINA,null,TETERKINA Yevpraksiya Vlasovna
NS-LAT-SLAV-33-018,null,Nikodim Prokopovich,SHISHKAREV,null,SHISHKAREV Nikodim Prokopovich
NS-LAT-SLAV-33-019,null,Yepistim Makarovich,OBLOMEYEV,null,OBLOMEYEV Yepistim Makarovich
NS-LAT-SLAV-33-020,null,Savva Fomich,ZHELTIKOV,null,ZHELTIKOV Savva Fomich
NS-LAT-SLAV-33-021,null,Vlas Tarasovich,SHCHAPOV,null,SHCHAPOV Vlas Tarasovich
NS-LAT-SLAV-33-022,null,Anfisa Nazarovna,DROBYSHEVA,null,DROBYSHEVA Anfisa Nazarovna
NS-LAT-SLAV-33-023,null,Illarion Sevastyanovich,SMETANIN,null,SMETANIN Illarion Sevastyanovich
NS-LAT-SLAV-33-024,null,Yevfrosiniya Yakovlevna,MYAKISHEVA,null,MYAKISHEVA Yevfrosiniya Yakovlevna
NS-LAT-SLAV-33-025,null,Kapiton Avvakumovich,SHCHETINKIN,null,SHCHETINKIN Kapiton Avvakumovich
NS-LAT-SLAV-33-026,null,Varlaam Orestovich,PODOPRIGORA,null,PODOPRIGORA Varlaam Orestovich
NS-LAT-SLAV-33-027,null,Kaleriya Sidorovna,VYUNOVA,null,VYUNOVA Kaleriya Sidorovna
NS-LAT-SLAV-33-028,null,Onufriy Trofimovich,KORYTOV,null,KORYTOV Onufriy Trofimovich
NS-LAT-SLAV-33-029,null,Vlas Prokopovich,ZHBANKOV,null,ZHBANKOV Vlas Prokopovich
NS-LAT-SLAV-33-030,null,Sevastyan Gordeyevich,MESHCHERYAKOV,null,MESHCHERYAKOV Sevastyan Gordeyevich
NS-LAT-SLAV-33-031,null,Innokentiy Kharitonovich,NAGIBIN,null,NAGIBIN Innokentiy Kharitonovich
NS-LAT-SLAV-33-032,null,Yermolay Fomich,SHASTUNOV,null,SHASTUNOV Yermolay Fomich
NS-LAT-SLAV-33-033,null,Pelageya Feofanovna,LOSKUTOVA,null,LOSKUTOVA Pelageya Feofanovna
NS-LAT-SLAV-33-034,null,Serafim Vlasovich,SHCHERBANYUK,null,SHCHERBANYUK Serafim Vlasovich
NS-LAT-SLAV-33-035,null,Avksentiy Trofimovich,MUKHOMOROV,null,MUKHOMOROV Avksentiy Trofimovich
NS-LAT-SLAV-33-036,null,Prokop Kondratovich,ZHMYKHOV,null,ZHMYKHOV Prokop Kondratovich
NS-LAT-SLAV-33-037,null,Yuliana Zosimichna,OVSYANNIKOVA,null,OVSYANNIKOVA Yuliana Zosimichna
NS-LAT-SLAV-33-038,null,Drosida Ignatovna,NAGIBINA,null,NAGIBINA Drosida Ignatovna
