queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
NSS-LAT-SLAV-32-001,null,Semen Mikhailovich,BIRYUKOV,null,BIRYUKOV Semen
NSS-LAT-SLAV-32-002,null,Petr Stepanovich,GROMOV,null,GROMOV Petr
NSS-LAT-SLAV-32-003,null,Valentina Yuryevna,FROLOVA,null,FROLOVA Valentina
NSS-LAT-SLAV-32-004,null,Marina Olegovna,LUKINA,null,LUKINA Marina
NSS-LAT-SLAV-32-005,null,Vadim Viktorovich,BIRYUKOV,null,BIRYUKOV Vadim
NSS-LAT-SLAV-32-006,null,Vyacheslav Anatolyevich,LAZAREV,null,LAZAREV Vyacheslav
NSS-LAT-SLAV-32-007,null,Ilya Ivanovich,BORISOV,null,BORISOV Ilya
NSS-LAT-SLAV-32-008,null,Irina Gennadyevna,NAZAROVA,null,NAZAROVA Irina
NSS-LAT-SLAV-32-009,null,Dmitriy Stepanovich,KOMAROV,null,KOMAROV Dmitriy
NSS-LAT-SLAV-32-010,null,Ilya Dmitryevich,DAVYDOV,null,DAVYDOV Ilya
NSS-LAT-SLAV-32-011,null,Polina Igorevna,STEPANOVA,null,STEPANOVA Polina
NSS-LAT-SLAV-32-012,null,Pavel Igorevich,KOVALEV,null,KOVALEV Pavel
NSS-LAT-SLAV-32-013,null,Valentin Viktorovich,MAKSIMOV,null,MAKSIMOV Valentin
NSS-LAT-SLAV-32-014,null,Mariya Viktorovna,KOMAROVA,null,KOMAROVA Mariya
NSS-LAT-SLAV-32-016,null,Valeriy Stepanovich,KULIKOV,null,KULIKOV Valeriy
NSS-LAT-SLAV-32-017,null,Nadezhda Borisovna,LAZAREVA,null,LAZAREVA Nadezhda
NSS-LAT-SLAV-32-018,null,Ruslan Stepanovich,NAZAROV,null,NAZAROV Ruslan
NSS-LAT-SLAV-32-019,null,Kirill Vladimirovich,MATVEYEV,null,MATVEYEV Kirill
NSS-LAT-SLAV-32-020,null,Ruslan Fedorovich,KRYLOV,null,KRYLOV Ruslan
NSS-LAT-SLAV-32-021,null,Vera Borisovna,FROLOVA,null,FROLOVA Vera
NSS-LAT-SLAV-32-022,null,Ilya Grigoryevich,LAZAREV,null,LAZAREV Ilya
NSS-LAT-SLAV-32-023,null,Aleksandr Igorevich,KARASEV,null,KARASEV Aleksandr
NSS-LAT-SLAV-32-024,null,Raisa Sergeyevna,SAVELYEVA,null,SAVELYEVA Raisa
NSS-LAT-SLAV-32-025,null,Aleksey Semenovich,NIKITIN,null,NIKITIN Aleksey
NSS-LAT-SLAV-32-026,null,Konstantin Olegovich,LAZAREV,null,LAZAREV Konstantin
NSS-LAT-SLAV-32-027,null,Leonid Yuryevich,SOLOVEV,null,SOLOVEV Leonid
NSS-LAT-SLAV-32-028,null,Yuliya Konstantinovna,CHERNOVA,null,CHERNOVA Yuliya
NSS-LAT-SLAV-32-029,null,Petr Viktorovich,GERASIMOV,null,GERASIMOV Petr
NSS-LAT-SLAV-32-030,null,Yekaterina Aleksandrovna,KISELEVA,null,KISELEVA Yekaterina
NSS-LAT-SLAV-32-031,null,Anatoliy Anatolyevich,KALININ,null,KALININ Anatoliy
NSS-LAT-SLAV-32-033,null,Yevgeniy Igorevich,KARPOV,null,KARPOV Yevgeniy
NSS-LAT-SLAV-32-034,null,Sergey Leonidovich,KARASEV,null,KARASEV Sergey
NSS-LAT-SLAV-32-035,null,Valentina Pavlovna,CHISTYAKOVA,null,CHISTYAKOVA Valentina
NSS-LAT-SLAV-32-036,null,Zinaida Sergeyevna,GROMOVA,null,GROMOVA Zinaida
NSS-LAT-SLAV-32-037,null,Eduard Vladimirovich,NOVIKOV,null,NOVIKOV Eduard
NSS-LAT-SLAV-32-038,null,Margarita Valeryevna,BORISOVA,null,BORISOVA Margarita
NSS-LAT-SLAV-32-039,null,Fedor Nikolayevich,ALEKSEYEV,null,ALEKSEYEV Fedor
NSS-LAT-SLAV-32-040,null,Igor Nikolayevich,SAVELYEV,null,SAVELYEV Igor
NSS-LAT-SLAV-32-041,null,Viktor Timofeyevich,MARTYNOV,null,MARTYNOV Viktor
NSS-LAT-SLAV-32-042,null,Darya Borisovna,KAZAKOVA,null,KAZAKOVA Darya
NSS-LAT-SLAV-32-043,null,Natalya Gennadyevna,FOMINA,null,FOMINA Natalya
NSS-LAT-SLAV-32-044,null,Valeriy Alekseyevich,KARASEV,null,KARASEV Valeriy
NSS-LAT-SLAV-32-045,null,Oleg Andreyevich,POPOV,null,POPOV Oleg
NSS-LAT-SLAV-32-046,null,Vadim Petrovich,MARTYNOV,null,MARTYNOV Vadim
NSS-LAT-SLAV-32-047,null,Pavel Yevgenyevich,BORISOV,null,BORISOV Pavel
NSS-LAT-SLAV-32-048,null,Gennadiy Petrovich,MAKSIMOV,null,MAKSIMOV Gennadiy
NSS-LAT-SLAV-32-049,null,Roman Pavlovich,BOGDANOV,null,BOGDANOV Roman
NSS-LAT-SLAV-32-050,null,Petr Borisovich,OSIPOV,null,OSIPOV Petr
NSS-LAT-SLAV-32-051,null,Svetlana Mikhailovna,BORISOVA,null,BORISOVA Svetlana
NSS-LAT-SLAV-32-052,null,Oleg Olegovich,DROZDOV,null,DROZDOV Oleg
NSS-LAT-SLAV-32-053,null,Yuriy Igorevich,SMIRNOV,null,SMIRNOV Yuriy
NSS-LAT-SLAV-32-054,null,Polina Anatolyevna,GRIGORYEVA,null,GRIGORYEVA Polina
NSS-LAT-SLAV-32-055,null,Roman Borisovich,VASILYEV,null,VASILYEV Roman
NSS-LAT-SLAV-32-056,null,Arkadiy Timofeyevich,KRYLOV,null,KRYLOV Arkadiy
NSS-LAT-SLAV-32-057,null,Aleksey Anatolyevich,SOROKIN,null,SOROKIN Aleksey
NSS-LAT-SLAV-32-058,null,Igor Yuryevich,KUZMIN,null,KUZMIN Igor
NSS-LAT-SLAV-32-059,null,Artem Sergeyevich,SEMENOV,null,SEMENOV Artem
NSS-LAT-SLAV-32-060,null,Svetlana Alekseyevna,STEPANOVA,null,STEPANOVA Svetlana
NSS-LAT-SLAV-32-061,null,Margarita Aleksandrovna,ILINA,null,ILINA Margarita
