queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
NSS-LAT-SLAV-NB-32-001,null,Anatoliy Fedorovich,ZAYCHENKO,null,ZAYCHENKO Anatoliy
NSS-LAT-SLAV-NB-32-002,null,Larisa Vyacheslavovna,KUZMUK,null,KUZMUK Larisa
NSS-LAT-SLAV-NB-32-003,null,Maksimilian Dmitryevich,BOGDANOV,null,BOGDANOV Maksimilian
NSS-LAT-SLAV-NB-32-004,null,Yuliana Alekseyevna,SIDORINA,null,SIDORINA Yuliana
NSS-LAT-SLAV-NB-32-005,null,Dionis Dmitryevich,ORLOVSKIY,null,ORLOVSKIY Dionis
NSS-LAT-SLAV-NB-32-006,null,Inessa Vladimirovna,MEDVEDEVA,null,MEDVEDEVA Inessa
NSS-LAT-SLAV-NB-32-007,null,Darina Andreyevna,BORISKINA,null,BORISKINA Darina
NSS-LAT-SLAV-NB-32-008,null,Valentin Gennadyevich,ROMANOV,null,ROMANOV Valentin
NSS-LAT-SLAV-NB-32-009,null,Leon Gennadyevich,LEBEDEV,null,LEBEDEV Leon
NSS-LAT-SLAV-NB-32-010,null,Oles Vyacheslavovich,SOLOVEV,null,SOLOVEV Oles
NSS-LAT-SLAV-NB-32-011,null,Artemiy Petrovich,SOROKIN,null,SOROKIN Artemiy
NSS-LAT-SLAV-NB-32-012,null,Vyacheslav Mikhailovich,ZAKHARENKO,null,ZAKHARENKO Vyacheslav
NSS-LAT-SLAV-NB-32-013,null,Nikolay Gennadyevich,MOROZKO,null,MOROZKO Nikolay
NSS-LAT-SLAV-NB-32-014,null,Leontiy Leonidovich,MEDVEDSKIY,null,MEDVEDSKIY Leontiy
NSS-LAT-SLAV-NB-32-015,null,Yelizaveta Nikolayevna,KOMARITSKIY,null,KOMARITSKIY Yelizaveta
NSS-LAT-SLAV-NB-32-016,null,Antonina Pavlovna,GRIGORCHUK,null,GRIGORCHUK Antonina
NSS-LAT-SLAV-NB-32-017,null,Valentina Romanovna,KOMARCHUK,null,KOMARCHUK Valentina
NSS-LAT-SLAV-NB-32-018,null,Selivan Andreyevich,MEDVEDEV,null,MEDVEDEV Selivan
NSS-LAT-SLAV-NB-32-019,null,Sevastyan Semenovich,ZAKHAROV,null,ZAKHAROV Sevastyan
NSS-LAT-SLAV-NB-32-020,null,Ulyana Vladimirovna,KOMAROVA,null,KOMAROVA Ulyana
NSS-LAT-SLAV-NB-32-021,null,Taisa Semenovna,ANDRYUSHCHENKO,null,ANDRYUSHCHENKO Taisa
NSS-LAT-SLAV-NB-32-022,null,Dionis Konstantinovich,POLYACHENKO,null,POLYACHENKO Dionis
NSS-LAT-SLAV-NB-32-023,null,Nonna Igorevna,KARPOVA,null,KARPOVA Nonna
NSS-LAT-SLAV-NB-32-024,null,Petr Nikolayevich,ORLIKOV,null,ORLIKOV Petr
NSS-LAT-SLAV-NB-32-025,null,Rostislav Sergeyevich,ZAKHARKIN,null,ZAKHARKIN Rostislav
NSS-LAT-SLAV-NB-32-026,null,Snezhana Pavlovna,LEBEDEVA,null,LEBEDEVA Snezhana
NSS-LAT-SLAV-NB-32-027,null,Viola Vladimirovna,LEBEDINSKAYA,null,LEBEDINSKAYA Viola
NSS-LAT-SLAV-NB-32-028,null,Maksimilian Vyacheslavovich,POLYAKOV,null,POLYAKOV Maksimilian
NSS-LAT-SLAV-NB-32-029,null,Timur Alekseyevich,MIKHAYLOV,null,MIKHAYLOV Timur
NSS-LAT-SLAV-NB-32-030,null,Mikhail Romanovich,POLYANICHKO,null,POLYANICHKO Mikhail
NSS-LAT-SLAV-NB-32-031,null,Dionis Fedorovich,SIDOROV,null,SIDOROV Dionis
NSS-LAT-SLAV-NB-32-032,null,Nikon Igorevich,KARPIN,null,KARPIN Nikon
NSS-LAT-SLAV-NB-32-033,null,Arkadiy Alekseyevich,POLYANSKIY,null,POLYANSKIY Arkadiy
NSS-LAT-SLAV-NB-32-034,null,Lyudmila Leonidovna,BELYAKOVA,null,BELYAKOVA Lyudmila
NSS-LAT-SLAV-NB-32-035,null,Ruslan Mikhailovich,KUZMUK,null,KUZMUK Ruslan
NSS-LAT-SLAV-NB-32-036,null,Vyacheslav Viktorovich,POLYANIN,null,POLYANIN Vyacheslav
NSS-LAT-SLAV-NB-32-037,null,Anfisa Yuryevna,POLYACHENKO,null,POLYACHENKO Anfisa
NSS-LAT-SLAV-NB-32-038,null,Yulian Andreyevich,ANTONYUK,null,ANTONYUK Yulian
NSS-LAT-SLAV-NB-32-039,null,Leontiy Pavlovich,KARPIN,null,KARPIN Leontiy
NSS-LAT-SLAV-NB-32-041,null,Antonina Anatolyevna,TARASOVA,null,TARASOVA Antonina
NSS-LAT-SLAV-NB-32-042,null,Selivan Petrovich,SOKOLOV,null,SOKOLOV Selivan
NSS-LAT-SLAV-NB-32-043,null,Vadim Stepanovich,ANDREYCHENKO,null,ANDREYCHENKO Vadim
NSS-LAT-SLAV-NB-32-044,null,Andron Borisovich,MEDVEDEV,null,MEDVEDEV Andron
NSS-LAT-SLAV-NB-32-045,null,Veronika Ivanovna,ORLOVSKAYA,null,ORLOVSKAYA Veronika
NSS-LAT-SLAV-NB-32-046,null,Vikentiy Nikolayevich,BELENKO,null,BELENKO Vikentiy
NSS-LAT-SLAV-NB-32-047,null,Kirill Olegovich,VOLCHKOV,null,VOLCHKOV Kirill
NSS-LAT-SLAV-NB-32-048,null,Gennadiy Dmitryevich,ZAYCHENKO,null,ZAYCHENKO Gennadiy
NSS-LAT-SLAV-NB-32-049,null,Viola Semenovna,KUZINA,null,KUZINA Viola
NSS-LAT-SLAV-NB-32-050,null,Feodosiy Valeryevich,SOROKIN,null,SOROKIN Feodosiy
NSS-LAT-SLAV-NB-32-051,null,Feofan Vyacheslavovich,SOKOLOV,null,SOKOLOV Feofan
NSS-LAT-SLAV-NB-32-052,null,Tamara Semenovna,ANDREYCHENKO,null,ANDREYCHENKO Tamara
NSS-LAT-SLAV-NB-32-053,null,Gennadiy Konstantinovich,KOMARCHUK,null,KOMARCHUK Gennadiy
NSS-LAT-SLAV-NB-32-054,null,Valerian Aleksandrovich,ROMANOV,null,ROMANOV Valerian
NSS-LAT-SLAV-NB-32-055,null,Yuliana Mikhailovna,SIDORINA,null,SIDORINA Yuliana
NSS-LAT-SLAV-NB-32-056,null,Aleksiy Alekseyevich,GRIGORYAN,null,GRIGORYAN Aleksiy
NSS-LAT-SLAV-NB-32-057,null,Andron Grigoryevich,BORISOV,null,BORISOV Andron
NSS-LAT-SLAV-NB-32-058,null,Artemiy Konstantinovich,BORISOV,null,BORISOV Artemiy
NSS-LAT-SLAV-NB-32-059,null,Andron Semenovich,TARASOV,null,TARASOV Andron
