queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
S-LAT-SLAV33-001,36763,Oleg Aleksandrovich,ALEKSEEV,Oleg Aleksandrovich ALEKSEEV,ALEKSEEV Oleg Aleksandrovich
S-LAT-SLAV33-002,44540,Ina Vladimirovna,ALEKSINA,Ina Vladimirovna ALEKSINA,ALEKSINA Ina Vladimirovna
S-LAT-SLAV33-003,32745,Alexey Alexandrovich,ALEXANDROV,Alexey Alexandrovich ALEXANDROV,ALEXANDROV Alexey Alexandrovich
S-LAT-SLAV33-004,37844,Tatiana Vladimirovna,ARTYAKOVA,Tatiana Vladimirovna ARTYAKOVA,ARTYAKOVA Tatiana Vladimirovna
S-LAT-SLAV33-005,30517,Alyaksandr Vyachaslavavich,ASTREIKA,Alyaksandr Vyachaslavavich ASTREIKA,ASTREIKA Alyaksandr Vyachaslavavich
S-LAT-SLAV33-006,50216,Oleg Fedorovich,BARABANOV,Oleg Fedorovich BARABANOV,BARABANOV Oleg Fedorovich
S-LAT-SLAV33-007,42196,Aleksei Vladimirovich,BASHKIROV,Aleksei Vladimirovich BASHKIROV,BASHKIROV Aleksei Vladimirovich
S-LAT-SLAV33-008,35226,Aleksandr Dmitrievich,BEGLOV,Aleksandr Dmitrievich BEGLOV,BEGLOV Aleksandr Dmitrievich
S-LAT-SLAV33-009,20920,Dmitry Anatolievich,BELIK,Dmitry Anatolievich BELIK,BELIK Dmitry Anatolievich
S-LAT-SLAV33-010,35399,Anatoly Zhamalovich,BIFOV,Anatoly Zhamalovich BIFOV,BIFOV Anatoly Zhamalovich
S-LAT-SLAV33-011,35414,Vladimir Nikolayevich,BLOTSKY,Vladimir Nikolayevich BLOTSKY,BLOTSKY Vladimir Nikolayevich
S-LAT-SLAV33-012,45862,Daniil Sergeyevich,BORSHCHEV,Daniil Sergeyevich BORSHCHEV,BORSHCHEV Daniil Sergeyevich
S-LAT-SLAV33-013,34577,Denis Aleksandrovich,BORTNIKOV,Denis Aleksandrovich BORTNIKOV,BORTNIKOV Denis Aleksandrovich
S-LAT-SLAV33-014,37812,Sergey Fateevich,BRILKA,Sergey Fateevich BRILKA,BRILKA Sergey Fateevich
S-LAT-SLAV33-015,37853,Vasily Yuryevich,BROVKO,Vasily Yuryevich BROVKO,BROVKO Vasily Yuryevich
S-LAT-SLAV33-016,37178,Nikolay Ivanovich,BULAEV,Nikolay Ivanovich BULAEV,BULAEV Nikolay Ivanovich
S-LAT-SLAV33-017,48774,Yaroslav Viktorovich,BULYGIN,Yaroslav Viktorovich BULYGIN,BULYGIN Yaroslav Viktorovich
S-LAT-SLAV33-018,37116,Alexandra Yurevna,BURIKO,Alexandra Yurevna BURIKO,BURIKO Alexandra Yurevna
S-LAT-SLAV33-019,50272,Gleb Sergeyevich,CHERBOV,Gleb Sergeyevich CHERBOV,CHERBOV Gleb Sergeyevich
S-LAT-SLAV33-020,39215,Serhiy Mykolayovych,CHEREVKO,Serhiy Mykolayovych CHEREVKO,CHEREVKO Serhiy Mykolayovych
S-LAT-SLAV33-021,50230,Yuri Aleksandrovich,CHIVEL,Yuri Aleksandrovich CHIVEL,CHIVEL Yuri Aleksandrovich
S-LAT-SLAV33-022,35463,Mikhail Gennadyevich,DELYAGIN,Mikhail Gennadyevich DELYAGIN,DELYAGIN Mikhail Gennadyevich
S-LAT-SLAV33-023,51948,Konstantin Ivanovich,DENISOV,Konstantin Ivanovich DENISOV,DENISOV Konstantin Ivanovich
S-LAT-SLAV33-024,45702,Vadim Sergeevich,DOBROV,Vadim Sergeevich DOBROV,DOBROV Vadim Sergeevich
S-LAT-SLAV33-025,31454,Andrey Nikolayevich,DOLGOPOLOV,Andrey Nikolayevich DOLGOPOLOV,DOLGOPOLOV Andrey Nikolayevich
S-LAT-SLAV33-026,35610,Nikolay Aleksandrovich,DOLUDA,Nikolay Aleksandrovich DOLUDA,DOLUDA Nikolay Aleksandrovich
S-LAT-SLAV33-027,35013,Viacheslav Yuryevich,DUBROVINSKIY,Viacheslav Yuryevich DUBROVINSKIY,DUBROVINSKIY Viacheslav Yuryevich
S-LAT-SLAV33-028,51852,Aleksandr Valeryevich,DYUKOV,Aleksandr Valeryevich DYUKOV,DYUKOV Aleksandr Valeryevich
S-LAT-SLAV33-029,50404,Aleksandr Sergeyevich,ERSHOV,Aleksandr Sergeyevich ERSHOV,ERSHOV Aleksandr Sergeyevich
S-LAT-SLAV33-030,35501,Oksana Nikolayevna,FADINA,Oksana Nikolayevna FADINA,FADINA Oksana Nikolayevna
S-LAT-SLAV33-031,34658,Petr Mikhailovich,FRADKOV,Petr Mikhailovich FRADKOV,FRADKOV Petr Mikhailovich
S-LAT-SLAV33-032,37003,Anatolii Anatolyevich,GAVRILENKO,Anatolii Anatolyevich GAVRILENKO,GAVRILENKO Anatolii Anatolyevich
S-LAT-SLAV33-033,48767,Andrei Viktorovich,GAVRYUCHENKOV,Andrei Viktorovich GAVRYUCHENKOV,GAVRYUCHENKOV Andrei Viktorovich
S-LAT-SLAV33-034,36793,Lyubov Nikolayevna,GLEBOVA,Lyubov Nikolayevna GLEBOVA,GLEBOVA Lyubov Nikolayevna
S-LAT-SLAV33-035,38078,Leonid Mikhailovich,GONIN,Leonid Mikhailovich GONIN,GONIN Leonid Mikhailovich
S-LAT-SLAV33-036,36792,Dmitry Yuryevich,GORITSKY,Dmitry Yuryevich GORITSKY,GORITSKY Dmitry Yuryevich
S-LAT-SLAV33-037,35603,Andrey Viktorovich,GURULEV,Andrey Viktorovich GURULEV,GURULEV Andrey Viktorovich
S-LAT-SLAV33-038,36786,Denis Vladimirovich,GUSEV,Denis Vladimirovich GUSEV,GUSEV Denis Vladimirovich
S-LAT-SLAV33-039,9761,Viktar Hryhoryavich,HALAVANAU,Viktar Hryhoryavich HALAVANAU,HALAVANAU Viktar Hryhoryavich
S-LAT-SLAV33-040,36798,Vasily Nikolayevich,IKONNIKOV,Vasily Nikolayevich IKONNIKOV,IKONNIKOV Vasily Nikolayevich
S-LAT-SLAV33-041,35630,Andrey Konstantinovich,ISAEV,Andrey Konstantinovich ISAEV,ISAEV Andrey Konstantinovich
S-LAT-SLAV33-042,35620,Oleg Ivanovich,IVANINSKIY,Oleg Ivanovich IVANINSKIY,IVANINSKIY Oleg Ivanovich
S-LAT-SLAV33-043,41439,Valery Valerievich,IVANKOVICH,Valery Valerievich IVANKOVICH,IVANKOVICH Valery Valerievich
S-LAT-SLAV33-044,22411,Petr Grigorievich,JAROSH,Petr Grigorievich JAROSH,JAROSH Petr Grigorievich
S-LAT-SLAV33-045,31950,Natallia Ivanauna,KACHANAVA,Natallia Ivanauna KACHANAVA,KACHANAVA Natallia Ivanauna
S-LAT-SLAV33-046,36996,Denis Valentinovich,KAMYSHEV,Denis Valentinovich KAMYSHEV,KAMYSHEV Denis Valentinovich
S-LAT-SLAV33-047,35639,Igor Yuryevich,KASTYUKEVICH,Igor Yuryevich KASTYUKEVICH,KASTYUKEVICH Igor Yuryevich
S-LAT-SLAV33-048,30545,Henadz Arkadzievich,KAZAKEVICH,Henadz Arkadzievich KAZAKEVICH,KAZAKEVICH Henadz Arkadzievich
S-LAT-SLAV33-049,44882,Andrei Rostislavovich,KHOKHLUN,Andrei Rostislavovich KHOKHLUN,KHOKHLUN Andrei Rostislavovich
S-LAT-SLAV33-050,37841,Victor Nikolayevich,KIRYANOV,Victor Nikolayevich KIRYANOV,KIRYANOV Victor Nikolayevich
S-LAT-SLAV33-051,37328,Mikhail Sergeyevich,KISELEV,Mikhail Sergeyevich KISELEV,KISELEV Mikhail Sergeyevich
S-LAT-SLAV33-052,41050,Andrey Evgenyevich,KLYCHKOV,Andrey Evgenyevich KLYCHKOV,KLYCHKOV Andrey Evgenyevich
S-LAT-SLAV33-053,39212,Oleksandr Yuriyovych,KOBETS,Oleksandr Yuriyovych KOBETS,KOBETS Oleksandr Yuriyovych
S-LAT-SLAV33-054,40119,Yevgeny Ivanovich,KOLYUSHIN,Yevgeny Ivanovich KOLYUSHIN,KOLYUSHIN Yevgeny Ivanovich
S-LAT-SLAV33-055,35242,Igor Anatolyevich,KOMAROV,Igor Anatolyevich KOMAROV,KOMAROV Igor Anatolyevich
S-LAT-SLAV33-056,36809,Nikolai Fyodorovich,KONDRATYUK,Nikolai Fyodorovich KONDRATYUK,KONDRATYUK Nikolai Fyodorovich
S-LAT-SLAV33-057,16949,Oleg Grigorievich,KOZYURA,Oleg Grigorievich KOZYURA,KOZYURA Oleg Grigorievich
S-LAT-SLAV33-058,36803,Andrey Viktorovich,KUTEPOV,Andrey Viktorovich KUTEPOV,KUTEPOV Andrey Viktorovich
S-LAT-SLAV33-059,36483,Pavel Vladimirovich,KUZMIN,Pavel Vladimirovich KUZMIN,KUZMIN Pavel Vladimirovich
S-LAT-SLAV33-060,37335,Anna Yurievna,KUZNETSOVA,Anna Yurievna KUZNETSOVA,KUZNETSOVA Anna Yurievna
S-LAT-SLAV33-061,37337,Tatiana Petrovna,LARIONOVA,Tatiana Petrovna LARIONOVA,LARIONOVA Tatiana Petrovna
S-LAT-SLAV33-062,37729,Nadezhda Vitalyevna,LASHKARYOVA,Nadezhda Vitalyevna LASHKARYOVA,LASHKARYOVA Nadezhda Vitalyevna
S-LAT-SLAV33-063,36480,Mikhail Aleksandrovich,LESHCHENKO,Mikhail Aleksandrovich LESHCHENKO,LESHCHENKO Mikhail Aleksandrovich
S-LAT-SLAV33-064,51957,Alexander Markovich,LOKSHIN,Alexander Markovich LOKSHIN,LOKSHIN Alexander Markovich
S-LAT-SLAV33-065,35672,Roman Valeryevich,LYUBARSKIY,Roman Valeryevich LYUBARSKIY,LYUBARSKIY Roman Valeryevich
S-LAT-SLAV33-066,35676,Zurab Gayozovich,MAKIYEV,Zurab Gayozovich MAKIYEV,MAKIYEV Zurab Gayozovich
S-LAT-SLAV33-067,40572,Aleksei Alekseevich,MALYAREVICH,Aleksei Alekseevich MALYAREVICH,MALYAREVICH Aleksei Alekseevich
S-LAT-SLAV33-068,37340,Evgeny Evgenievich,MARCHENKO,Evgeny Evgenievich MARCHENKO,MARCHENKO Evgeny Evgenievich
S-LAT-SLAV33-069,44142,Pavel Alekseevich,MARINYCHEV,Pavel Alekseevich MARINYCHEV,MARINYCHEV Pavel Alekseevich
S-LAT-SLAV33-070,35398,Vyacheslav Mikhaylovich,MARKHAYEV,Vyacheslav Mikhaylovich MARKHAYEV,MARKHAYEV Vyacheslav Mikhaylovich
S-LAT-SLAV33-071,33401,Igor Anatolievich,MARSHALOV,Igor Anatolievich MARSHALOV,MARSHALOV Igor Anatolievich
S-LAT-SLAV33-072,38616,Sergey Vladimirovich,MATVIYENKO,Sergey Vladimirovich MATVIYENKO,MATVIYENKO Sergey Vladimirovich
S-LAT-SLAV33-073,41051,Vladimir Vladimirovich,MAZUR,Vladimir Vladimirovich MAZUR,MAZUR Vladimir Vladimirovich
S-LAT-SLAV33-074,16670,Sergey Mikhailovich,MIRONOV,Sergey Mikhailovich MIRONOV,MIRONOV Sergey Mikhailovich
S-LAT-SLAV33-075,50973,Stanislav Igorevich,MOLOTOV,Stanislav Igorevich MOLOTOV,MOLOTOV Stanislav Igorevich
S-LAT-SLAV33-076,36829,Sergey Nikolayevich,MURATOV,Sergey Nikolayevich MURATOV,MURATOV Sergey Nikolayevich
S-LAT-SLAV33-077,35766,Tatiana Aleksandrovna,NAVKA,Tatiana Aleksandrovna NAVKA,NAVKA Tatiana Aleksandrovna
S-LAT-SLAV33-078,40661,Alina Olegovna,NAZAROVA,Alina Olegovna NAZAROVA,NAZAROVA Alina Olegovna
S-LAT-SLAV33-079,36836,Boris Alexandrovich,NEVZOROV,Boris Alexandrovich NEVZOROV,NEVZOROV Boris Alexandrovich
S-LAT-SLAV33-080,40240,Oleg Alekseyevich,NIKOLAYEV,Oleg Alekseyevich NIKOLAYEV,NIKOLAYEV Oleg Alekseyevich
S-LAT-SLAV33-081,50603,Dmitry Yuryevich,NIKULIN,Dmitry Yuryevich NIKULIN,NIKULIN Dmitry Yuryevich
S-LAT-SLAV33-082,36837,Viktor Feodosyevich,NOVOZHILOV,Viktor Feodosyevich NOVOZHILOV,NOVOZHILOV Viktor Feodosyevich
S-LAT-SLAV33-083,47779,Stanislav Alexandrovich,ORLOV,Stanislav Alexandrovich ORLOV,ORLOV Stanislav Alexandrovich
S-LAT-SLAV33-084,35691,Natalya Alekseyevna,ORLOVA,Natalya Alekseyevna ORLOVA,ORLOVA Natalya Alekseyevna
S-LAT-SLAV33-085,35421,Nina Aleksandrovna,OSTANINA,Nina Aleksandrovna OSTANINA,OSTANINA Nina Aleksandrovna
S-LAT-SLAV33-086,37177,Ella Aleksandrovna,PAMFILOVA,Ella Aleksandrovna PAMFILOVA,PAMFILOVA Ella Aleksandrovna
S-LAT-SLAV33-087,38799,Mikhail Ilyich,PAVLYUK,Mikhail Ilyich PAVLYUK,PAVLYUK Mikhail Ilyich
S-LAT-SLAV33-088,48855,Sergey Viktorovich,PITIKOV,Sergey Viktorovich PITIKOV,PITIKOV Sergey Viktorovich
S-LAT-SLAV33-089,35027,Yevgeniya Aleksandrovna,PODGORNOVA,Yevgeniya Aleksandrovna PODGORNOVA,PODGORNOVA Yevgeniya Aleksandrovna
S-LAT-SLAV33-090,31671,Polina Evgenyevna,PRIGOZHINA,Polina Evgenyevna PRIGOZHINA,PRIGOZHINA Polina Evgenyevna
S-LAT-SLAV33-091,35404,Artyom Vyacheslavovich,PROKOFYEV,Artyom Vyacheslavovich PROKOFYEV,PROKOFYEV Artyom Vyacheslavovich
S-LAT-SLAV33-092,37363,Valery Fedorovich,RASHKIN,Valery Fedorovich RASHKIN,RASHKIN Valery Fedorovich
S-LAT-SLAV33-093,42874,Aleksandr Gennadievich,RAZORENOV,Aleksandr Gennadievich RAZORENOV,RAZORENOV Aleksandr Gennadievich
S-LAT-SLAV33-094,35715,Igor Nikolayevich,RUDENSKY,Igor Nikolayevich RUDENSKY,RUDENSKY Igor Nikolayevich
S-LAT-SLAV33-095,36957,Igor Valerievich,RUSANOV,Igor Valerievich RUSANOV,RUSANOV Igor Valerievich
S-LAT-SLAV33-096,36054,Oleg Nikolayevich,RYAZANTSEV,Oleg Nikolayevich RYAZANTSEV,RYAZANTSEV Oleg Nikolayevich
S-LAT-SLAV33-097,16673,Nikolai Ivanovich,RYZHKOV,Nikolai Ivanovich RYZHKOV,RYZHKOV Nikolai Ivanovich
S-LAT-SLAV33-098,39208,Mykyta Ivanovich,SAMOILENKO,Mykyta Ivanovich SAMOILENKO,SAMOILENKO Mykyta Ivanovich
S-LAT-SLAV33-099,35530,Alexander Mikhaylovich,SAMOKUTYAEV,Alexander Mikhaylovich SAMOKUTYAEV,SAMOKUTYAEV Alexander Mikhaylovich
S-LAT-SLAV33-100,35781,Andrey Yurievich,SAPELIN,Andrey Yurievich SAPELIN,SAPELIN Andrey Yurievich
S-LAT-SLAV33-101,43538,Konstantin Prokopyevich,SAPOZHNIKOV,Konstantin Prokopyevich SAPOZHNIKOV,SAPOZHNIKOV Konstantin Prokopyevich
S-LAT-SLAV33-102,35528,Yuliya Vladimirovna,SARANOVA,Yuliya Vladimirovna SARANOVA,SARANOVA Yuliya Vladimirovna
S-LAT-SLAV33-103,52260,Sergei Pavlovich,SAVCHENKOV,Sergei Pavlovich SAVCHENKOV,SAVCHENKOV Sergei Pavlovich
S-LAT-SLAV33-104,50233,Viktoriya Orestovna,SAVRUK,Viktoriya Orestovna SAVRUK,SAVRUK Viktoriya Orestovna
S-LAT-SLAV33-105,48859,Alexey Borisovich,SDOBNOV,Alexey Borisovich SDOBNOV,SDOBNOV Alexey Borisovich
S-LAT-SLAV33-106,16692,Igor Ivanovich,SECHIN,Igor Ivanovich SECHIN,SECHIN Igor Ivanovich
S-LAT-SLAV33-107,43094,Yulia Aleksandrovna,SERGEEVA,Yulia Aleksandrovna SERGEEVA,SERGEEVA Yulia Aleksandrovna
S-LAT-SLAV33-108,37733,Yuriy Valeryevich,SHEVCHENKO,Yuriy Valeryevich SHEVCHENKO,SHEVCHENKO Yuriy Valeryevich
S-LAT-SLAV33-109,35484,Anton Vladimirovich,SHIPULIN,Anton Vladimirovich SHIPULIN,SHIPULIN Anton Vladimirovich
S-LAT-SLAV33-110,36865,Anatoly Ivanovich,SHIROKOV,Anatoly Ivanovich SHIROKOV,SHIROKOV Anatoly Ivanovich
S-LAT-SLAV33-111,46549,Alexei Petrovich,SHKADAREVICH,Alexei Petrovich SHKADAREVICH,SHKADAREVICH Alexei Petrovich
S-LAT-SLAV33-112,35173,Sergei Kuzhugetovich,SHOIGU,Sergei Kuzhugetovich SHOIGU,SHOIGU Sergei Kuzhugetovich
S-LAT-SLAV33-113,49515,Oleg Petrovich,SHPAKOV,Oleg Petrovich SHPAKOV,SHPAKOV Oleg Petrovich
S-LAT-SLAV33-114,46784,Vasily Nikolaevich,SHUPRANOV,Vasily Nikolaevich SHUPRANOV,SHUPRANOV Vasily Nikolaevich
S-LAT-SLAV33-115,32751,Artsiom Igaravich,SIKORSKI,Artsiom Igaravich SIKORSKI,SIKORSKI Artsiom Igaravich
S-LAT-SLAV33-116,35393,Yury Petrovich,SINELSHCHIKOV,Yury Petrovich SINELSHCHIKOV,SINELSHCHIKOV Yury Petrovich
S-LAT-SLAV33-117,41001,Olga Vladimirovna,SKABEYEVA,Olga Vladimirovna SKABEYEVA,SKABEYEVA Olga Vladimirovna
S-LAT-SLAV33-118,35521,Alexander Anatolevich,SKACHKOV,Alexander Anatolevich SKACHKOV,SKACHKOV Alexander Anatolevich
