queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
S-RUS-TRANSL-33-FRENCH-001,36763,Oleg Aleksandrovich,ALEKSEEV,Oleg Aleksandrovich ALEKSEEV,Alekseiev Oleg Aleksandrovitch
S-RUS-TRANSL-33-FRENCH-002,44540,Ina Vladimirovna,ALEKSINA,Ina Vladimirovna ALEKSINA,Aleksina Inna Vladimirovna
S-RUS-TRANSL-33-FRENCH-003,32745,Alexey Alexandrovich,ALEXANDROV,Alexey Alexandrovich ALEXANDROV,Aleksandrov Aleksei Aleksandrovitch
S-RUS-TRANSL-33-FRENCH-004,37844,Tatiana Vladimirovna,ARTYAKOVA,Tatiana Vladimirovna ARTYAKOVA,Artiakova Tatiana Vladimirovna
S-RUS-TRANSL-33-FRENCH-005,30517,Alyaksandr Vyachaslavavich,ASTREIKA,Alyaksandr Vyachaslavavich ASTREIKA,Ostreiko Aleksandr Viatcheslavovitch
S-RUS-TRANSL-33-FRENCH-006,50216,Oleg Fedorovich,BARABANOV,Oleg Fedorovich BARABANOV,Barabanov Oleg Fiodorovitch
S-RUS-TRANSL-33-FRENCH-007,42196,Aleksei Vladimirovich,BASHKIROV,Aleksei Vladimirovich BASHKIROV,Bachkirov Aleksei Vladimirovitch
S-RUS-TRANSL-33-FRENCH-008,35226,Aleksandr Dmitrievich,BEGLOV,Aleksandr Dmitrievich BEGLOV,Beglov Aleksandr Dmitrievitch
S-RUS-TRANSL-33-FRENCH-009,20920,Dmitry Anatolievich,BELIK,Dmitry Anatolievich BELIK,Belik Dmitri Anatolievitch
S-RUS-TRANSL-33-FRENCH-010,35399,Anatoly Zhamalovich,BIFOV,Anatoly Zhamalovich BIFOV,Bifov Anatoli Jamalovitch
S-RUS-TRANSL-33-FRENCH-011,35414,Vladimir Nikolayevich,BLOTSKY,Vladimir Nikolayevich BLOTSKY,Blotski Vladimir Nikolaievitch
S-RUS-TRANSL-33-FRENCH-012,45862,Daniil Sergeyevich,BORSHCHEV,Daniil Sergeyevich BORSHCHEV,Borchtchiov Daniil Sergueievitch
S-RUS-TRANSL-33-FRENCH-013,34577,Denis Aleksandrovich,BORTNIKOV,Denis Aleksandrovich BORTNIKOV,Bortnikov Denis Aleksandrovitch
S-RUS-TRANSL-33-FRENCH-014,37812,Sergey Fateevich,BRILKA,Sergey Fateevich BRILKA,Brilka Serguei Fateievitch
S-RUS-TRANSL-33-FRENCH-015,37853,Vasily Yuryevich,BROVKO,Vasily Yuryevich BROVKO,Brovko Vasili Iourievitch
S-RUS-TRANSL-33-FRENCH-016,37178,Nikolay Ivanovich,BULAEV,Nikolay Ivanovich BULAEV,Boulaiev Nikolai Ivanovitch
S-RUS-TRANSL-33-FRENCH-017,48774,Yaroslav Viktorovich,BULYGIN,Yaroslav Viktorovich BULYGIN,Boulyguin Iaroslav Viktorovitch
S-RUS-TRANSL-33-FRENCH-018,37116,Alexandra Yurevna,BURIKO,Alexandra Yurevna BURIKO,Bouriko Aleksandra Iourievna
S-RUS-TRANSL-33-FRENCH-019,50272,Gleb Sergeyevich,CHERBOV,Gleb Sergeyevich CHERBOV,Tcherbov Gleb Sergueievitch
S-RUS-TRANSL-33-FRENCH-020,39215,Serhiy Mykolayovych,CHEREVKO,Serhiy Mykolayovych CHEREVKO,Tcherevko Serguei Nikolaievitch
S-RUS-TRANSL-33-FRENCH-021,50230,Yuri Aleksandrovich,CHIVEL,Yuri Aleksandrovich CHIVEL,Tchivel Iouri Aleksandrovitch
S-RUS-TRANSL-33-FRENCH-022,35463,Mikhail Gennadyevich,DELYAGIN,Mikhail Gennadyevich DELYAGIN,Deliaguin Mikhail Guennadievitch
S-RUS-TRANSL-33-FRENCH-023,51948,Konstantin Ivanovich,DENISOV,Konstantin Ivanovich DENISOV,Denisov Konstantin Ivanovitch
S-RUS-TRANSL-33-FRENCH-024,45702,Vadim Sergeevich,DOBROV,Vadim Sergeevich DOBROV,Dobrov Vadim Sergueievitch
S-RUS-TRANSL-33-FRENCH-025,31454,Andrey Nikolayevich,DOLGOPOLOV,Andrey Nikolayevich DOLGOPOLOV,Dolgopolov Andrei Nikolaievitch
S-RUS-TRANSL-33-FRENCH-026,35610,Nikolay Aleksandrovich,DOLUDA,Nikolay Aleksandrovich DOLUDA,Dolouda Nikolai Aleksandrovitch
S-RUS-TRANSL-33-FRENCH-027,35013,Viacheslav Yuryevich,DUBROVINSKIY,Viacheslav Yuryevich DUBROVINSKIY,Doubrovinski Viatcheslav Iourievitch
S-RUS-TRANSL-33-FRENCH-028,51852,Aleksandr Valeryevich,DYUKOV,Aleksandr Valeryevich DYUKOV,Dioukov Aleksandr Valerievitch
S-RUS-TRANSL-33-FRENCH-029,50404,Aleksandr Sergeyevich,ERSHOV,Aleksandr Sergeyevich ERSHOV,Ierchov Aleksandr Sergueievitch
S-RUS-TRANSL-33-FRENCH-030,35501,Oksana Nikolayevna,FADINA,Oksana Nikolayevna FADINA,Fadina Oksana Nikolaievna
S-RUS-TRANSL-33-FRENCH-031,34658,Petr Mikhailovich,FRADKOV,Petr Mikhailovich FRADKOV,Fradkov Piotr Mikhailovitch
S-RUS-TRANSL-33-FRENCH-032,37003,Anatolii Anatolyevich,GAVRILENKO,Anatolii Anatolyevich GAVRILENKO,Gavrilenko Anatoli Anatolievitch
S-RUS-TRANSL-33-FRENCH-033,48767,Andrei Viktorovich,GAVRYUCHENKOV,Andrei Viktorovich GAVRYUCHENKOV,Gavrioutchenkov Andrei Viktorovitch
S-RUS-TRANSL-33-FRENCH-034,36793,Lyubov Nikolayevna,GLEBOVA,Lyubov Nikolayevna GLEBOVA,Glebova Lioubov Nikolaievna
S-RUS-TRANSL-33-FRENCH-035,38078,Leonid Mikhailovich,GONIN,Leonid Mikhailovich GONIN,Gonin Leonid Mikhailovitch
S-RUS-TRANSL-33-FRENCH-036,36792,Dmitry Yuryevich,GORITSKY,Dmitry Yuryevich GORITSKY,Goritski Dmitri Iourievitch
S-RUS-TRANSL-33-FRENCH-037,35603,Andrey Viktorovich,GURULEV,Andrey Viktorovich GURULEV,Gouroulev Andrei Viktorovitch
S-RUS-TRANSL-33-FRENCH-038,36786,Denis Vladimirovich,GUSEV,Denis Vladimirovich GUSEV,Gousev Denis Vladimirovitch
S-RUS-TRANSL-33-FRENCH-039,9761,Viktar Hryhoryavich,HALAVANAU,Viktar Hryhoryavich HALAVANAU,Golovanov Viktor Grigorievitch
S-RUS-TRANSL-33-FRENCH-040,36798,Vasily Nikolayevich,IKONNIKOV,Vasily Nikolayevich IKONNIKOV,Ikonnikov Vasili Nikolaievitch
S-RUS-TRANSL-33-FRENCH-041,35630,Andrey Konstantinovich,ISAEV,Andrey Konstantinovich ISAEV,Isaiev Andrei Konstantinovitch
S-RUS-TRANSL-33-FRENCH-042,35620,Oleg Ivanovich,IVANINSKIY,Oleg Ivanovich IVANINSKIY,Ivaninski Oleg Ivanovitch
S-RUS-TRANSL-33-FRENCH-043,41439,Valery Valerievich,IVANKOVICH,Valery Valerievich IVANKOVICH,Ivankovitch Valeri Valerievitch
S-RUS-TRANSL-33-FRENCH-044,22411,Petr Grigorievich,JAROSH,Petr Grigorievich JAROSH,Iaroch Piotr Grigorievitch
S-RUS-TRANSL-33-FRENCH-045,31950,Natallia Ivanauna,KACHANAVA,Natallia Ivanauna KACHANAVA,Katchanova Natalia Ivanovna
S-RUS-TRANSL-33-FRENCH-046,36996,Denis Valentinovich,KAMYSHEV,Denis Valentinovich KAMYSHEV,Kamychev Denis Valentinovitch
S-RUS-TRANSL-33-FRENCH-047,35639,Igor Yuryevich,KASTYUKEVICH,Igor Yuryevich KASTYUKEVICH,Kastioukevitch Igor Iourievitch
S-RUS-TRANSL-33-FRENCH-048,30545,Henadz Arkadzievich,KAZAKEVICH,Henadz Arkadzievich KAZAKEVICH,Kazakevitch Guennadi Arkadievitch
S-RUS-TRANSL-33-FRENCH-049,44882,Andrei Rostislavovich,KHOKHLUN,Andrei Rostislavovich KHOKHLUN,Khokhloun Andrei Rostislavovitch
S-RUS-TRANSL-33-FRENCH-050,37841,Victor Nikolayevich,KIRYANOV,Victor Nikolayevich KIRYANOV,Kirianov Viktor Nikolaievitch
S-RUS-TRANSL-33-FRENCH-051,37328,Mikhail Sergeyevich,KISELEV,Mikhail Sergeyevich KISELEV,Kiselev Mikhail Sergueievitch
S-RUS-TRANSL-33-FRENCH-052,41050,Andrey Evgenyevich,KLYCHKOV,Andrey Evgenyevich KLYCHKOV,Klytchkov Andrei Ievguenievitch
S-RUS-TRANSL-33-FRENCH-053,39212,Oleksandr Yuriyovych,KOBETS,Oleksandr Yuriyovych KOBETS,Kobets Aleksandr Iourievitch
S-RUS-TRANSL-33-FRENCH-054,40119,Yevgeny Ivanovich,KOLYUSHIN,Yevgeny Ivanovich KOLYUSHIN,Koliouchin Ievgueni Ivanovitch
S-RUS-TRANSL-33-FRENCH-055,35242,Igor Anatolyevich,KOMAROV,Igor Anatolyevich KOMAROV,Komarov Igor Anatolievitch
S-RUS-TRANSL-33-FRENCH-056,36809,Nikolai Fyodorovich,KONDRATYUK,Nikolai Fyodorovich KONDRATYUK,Kondratiouk Nikolai Fiodorovitch
S-RUS-TRANSL-33-FRENCH-057,16949,Oleg Grigorievich,KOZYURA,Oleg Grigorievich KOZYURA,Kozioura Oleg Grigorievitch
S-RUS-TRANSL-33-FRENCH-058,36803,Andrey Viktorovich,KUTEPOV,Andrey Viktorovich KUTEPOV,Koutepov Andrei Viktorovitch
S-RUS-TRANSL-33-FRENCH-059,36483,Pavel Vladimirovich,KUZMIN,Pavel Vladimirovich KUZMIN,Kouzmin Pavel Vladimirovitch
S-RUS-TRANSL-33-FRENCH-060,37335,Anna Yurievna,KUZNETSOVA,Anna Yurievna KUZNETSOVA,Kouznetsova Anna Iourievna
