queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
S-RUS-TRANSL-33-ICAO-001,36763,Oleg Aleksandrovich,ALEKSEEV,Oleg Aleksandrovich ALEKSEEV,Alekseev Oleg Aleksandrovich
S-RUS-TRANSL-33-ICAO-002,44540,Ina Vladimirovna,ALEKSINA,Ina Vladimirovna ALEKSINA,Aleksina Inna Vladimirovna
S-RUS-TRANSL-33-ICAO-003,32745,Alexey Alexandrovich,ALEXANDROV,Alexey Alexandrovich ALEXANDROV,Aleksandrov Aleksei Aleksandrovich
S-RUS-TRANSL-33-ICAO-004,37844,Tatiana Vladimirovna,ARTYAKOVA,Tatiana Vladimirovna ARTYAKOVA,Artiakova Tatiana Vladimirovna
S-RUS-TRANSL-33-ICAO-005,30517,Alyaksandr Vyachaslavavich,ASTREIKA,Alyaksandr Vyachaslavavich ASTREIKA,Ostreiko Aleksandr Viacheslavovich
S-RUS-TRANSL-33-ICAO-006,50216,Oleg Fedorovich,BARABANOV,Oleg Fedorovich BARABANOV,Barabanov Oleg Fedorovich
S-RUS-TRANSL-33-ICAO-007,42196,Aleksei Vladimirovich,BASHKIROV,Aleksei Vladimirovich BASHKIROV,Bashkirov Aleksei Vladimirovich
S-RUS-TRANSL-33-ICAO-008,35226,Aleksandr Dmitrievich,BEGLOV,Aleksandr Dmitrievich BEGLOV,Beglov Aleksandr Dmitrievich
S-RUS-TRANSL-33-ICAO-009,20920,Dmitry Anatolievich,BELIK,Dmitry Anatolievich BELIK,Belik Dmitrii Anatolevich
S-RUS-TRANSL-33-ICAO-010,35399,Anatoly Zhamalovich,BIFOV,Anatoly Zhamalovich BIFOV,Bifov Anatolii Zhamalovich
S-RUS-TRANSL-33-ICAO-011,35414,Vladimir Nikolayevich,BLOTSKY,Vladimir Nikolayevich BLOTSKY,Blotskii Vladimir Nikolaevich
S-RUS-TRANSL-33-ICAO-012,45862,Daniil Sergeyevich,BORSHCHEV,Daniil Sergeyevich BORSHCHEV,Borshchev Daniil Sergeevich
S-RUS-TRANSL-33-ICAO-013,34577,Denis Aleksandrovich,BORTNIKOV,Denis Aleksandrovich BORTNIKOV,Bortnikov Denis Aleksandrovich
S-RUS-TRANSL-33-ICAO-014,37812,Sergey Fateevich,BRILKA,Sergey Fateevich BRILKA,Brilka Sergei Fateevich
S-RUS-TRANSL-33-ICAO-015,37853,Vasily Yuryevich,BROVKO,Vasily Yuryevich BROVKO,Brovko Vasilii Iurevich
S-RUS-TRANSL-33-ICAO-016,37178,Nikolay Ivanovich,BULAEV,Nikolay Ivanovich BULAEV,Bulaev Nikolai Ivanovich
S-RUS-TRANSL-33-ICAO-017,48774,Yaroslav Viktorovich,BULYGIN,Yaroslav Viktorovich BULYGIN,Bulygin Iaroslav Viktorovich
S-RUS-TRANSL-33-ICAO-018,37116,Alexandra Yurevna,BURIKO,Alexandra Yurevna BURIKO,Buriko Aleksandra Iurevna
S-RUS-TRANSL-33-ICAO-019,50272,Gleb Sergeyevich,CHERBOV,Gleb Sergeyevich CHERBOV,Cherbov Gleb Sergeevich
S-RUS-TRANSL-33-ICAO-020,39215,Serhiy Mykolayovych,CHEREVKO,Serhiy Mykolayovych CHEREVKO,Cherevko Sergei Nikolaevich
S-RUS-TRANSL-33-ICAO-021,50230,Yuri Aleksandrovich,CHIVEL,Yuri Aleksandrovich CHIVEL,Chivel Iurii Aleksandrovich
S-RUS-TRANSL-33-ICAO-022,35463,Mikhail Gennadyevich,DELYAGIN,Mikhail Gennadyevich DELYAGIN,Deliagin Mikhail Gennadevich
S-RUS-TRANSL-33-ICAO-023,51948,Konstantin Ivanovich,DENISOV,Konstantin Ivanovich DENISOV,Denisov Konstantin Ivanovich
S-RUS-TRANSL-33-ICAO-024,45702,Vadim Sergeevich,DOBROV,Vadim Sergeevich DOBROV,Dobrov Vadim Sergeevich
S-RUS-TRANSL-33-ICAO-025,31454,Andrey Nikolayevich,DOLGOPOLOV,Andrey Nikolayevich DOLGOPOLOV,Dolgopolov Andrei Nikolaevich
S-RUS-TRANSL-33-ICAO-026,35610,Nikolay Aleksandrovich,DOLUDA,Nikolay Aleksandrovich DOLUDA,Doluda Nikolai Aleksandrovich
S-RUS-TRANSL-33-ICAO-027,35013,Viacheslav Yuryevich,DUBROVINSKIY,Viacheslav Yuryevich DUBROVINSKIY,Dubrovinskii Viacheslav Iurevich
S-RUS-TRANSL-33-ICAO-028,51852,Aleksandr Valeryevich,DYUKOV,Aleksandr Valeryevich DYUKOV,Diukov Aleksandr Valerevich
S-RUS-TRANSL-33-ICAO-029,50404,Aleksandr Sergeyevich,ERSHOV,Aleksandr Sergeyevich ERSHOV,Ershov Aleksandr Sergeevich
S-RUS-TRANSL-33-ICAO-030,35501,Oksana Nikolayevna,FADINA,Oksana Nikolayevna FADINA,Fadina Oksana Nikolaevna
S-RUS-TRANSL-33-ICAO-031,34658,Petr Mikhailovich,FRADKOV,Petr Mikhailovich FRADKOV,Fradkov Petr Mikhailovich
S-RUS-TRANSL-33-ICAO-032,37003,Anatolii Anatolyevich,GAVRILENKO,Anatolii Anatolyevich GAVRILENKO,Gavrilenko Anatolii Anatolevich
S-RUS-TRANSL-33-ICAO-033,48767,Andrei Viktorovich,GAVRYUCHENKOV,Andrei Viktorovich GAVRYUCHENKOV,Gavriuchenkov Andrei Viktorovich
S-RUS-TRANSL-33-ICAO-034,36793,Lyubov Nikolayevna,GLEBOVA,Lyubov Nikolayevna GLEBOVA,Glebova Liubov Nikolaevna
S-RUS-TRANSL-33-ICAO-035,38078,Leonid Mikhailovich,GONIN,Leonid Mikhailovich GONIN,Gonin Leonid Mikhailovich
S-RUS-TRANSL-33-ICAO-036,36792,Dmitry Yuryevich,GORITSKY,Dmitry Yuryevich GORITSKY,Goritskii Dmitrii Iurevich
S-RUS-TRANSL-33-ICAO-037,35603,Andrey Viktorovich,GURULEV,Andrey Viktorovich GURULEV,Gurulev Andrei Viktorovich
S-RUS-TRANSL-33-ICAO-038,36786,Denis Vladimirovich,GUSEV,Denis Vladimirovich GUSEV,Gusev Denis Vladimirovich
S-RUS-TRANSL-33-ICAO-039,9761,Viktar Hryhoryavich,HALAVANAU,Viktar Hryhoryavich HALAVANAU,Golovanov Viktor Grigorevich
S-RUS-TRANSL-33-ICAO-040,36798,Vasily Nikolayevich,IKONNIKOV,Vasily Nikolayevich IKONNIKOV,Ikonnikov Vasilii Nikolaevich
S-RUS-TRANSL-33-ICAO-041,35630,Andrey Konstantinovich,ISAEV,Andrey Konstantinovich ISAEV,Isaev Andrei Konstantinovich
S-RUS-TRANSL-33-ICAO-042,35620,Oleg Ivanovich,IVANINSKIY,Oleg Ivanovich IVANINSKIY,Ivaninskii Oleg Ivanovich
S-RUS-TRANSL-33-ICAO-043,41439,Valery Valerievich,IVANKOVICH,Valery Valerievich IVANKOVICH,Ivankovich Valerii Valerevich
S-RUS-TRANSL-33-ICAO-044,22411,Petr Grigorievich,JAROSH,Petr Grigorievich JAROSH,Iarosh Petr Grigorevich
S-RUS-TRANSL-33-ICAO-045,31950,Natallia Ivanauna,KACHANAVA,Natallia Ivanauna KACHANAVA,Kachanova Natalia Ivanovna
S-RUS-TRANSL-33-ICAO-046,36996,Denis Valentinovich,KAMYSHEV,Denis Valentinovich KAMYSHEV,Kamyshev Denis Valentinovich
S-RUS-TRANSL-33-ICAO-047,35639,Igor Yuryevich,KASTYUKEVICH,Igor Yuryevich KASTYUKEVICH,Kastiukevich Igor Iurevich
S-RUS-TRANSL-33-ICAO-048,30545,Henadz Arkadzievich,KAZAKEVICH,Henadz Arkadzievich KAZAKEVICH,Kazakevich Gennadii Arkadevich
S-RUS-TRANSL-33-ICAO-049,44882,Andrei Rostislavovich,KHOKHLUN,Andrei Rostislavovich KHOKHLUN,Khokhlun Andrei Rostislavovich
S-RUS-TRANSL-33-ICAO-050,37841,Victor Nikolayevich,KIRYANOV,Victor Nikolayevich KIRYANOV,Kirianov Viktor Nikolaevich
S-RUS-TRANSL-33-ICAO-051,37328,Mikhail Sergeyevich,KISELEV,Mikhail Sergeyevich KISELEV,Kiselev Mikhail Sergeevich
S-RUS-TRANSL-33-ICAO-052,41050,Andrey Evgenyevich,KLYCHKOV,Andrey Evgenyevich KLYCHKOV,Klychkov Andrei Evgenevich
S-RUS-TRANSL-33-ICAO-053,39212,Oleksandr Yuriyovych,KOBETS,Oleksandr Yuriyovych KOBETS,Kobets Aleksandr Iurevich
S-RUS-TRANSL-33-ICAO-054,40119,Yevgeny Ivanovich,KOLYUSHIN,Yevgeny Ivanovich KOLYUSHIN,Koliushin Evgenii Ivanovich
S-RUS-TRANSL-33-ICAO-055,35242,Igor Anatolyevich,KOMAROV,Igor Anatolyevich KOMAROV,Komarov Igor Anatolevich
S-RUS-TRANSL-33-ICAO-056,36809,Nikolai Fyodorovich,KONDRATYUK,Nikolai Fyodorovich KONDRATYUK,Kondratiuk Nikolai Fedorovich
S-RUS-TRANSL-33-ICAO-057,16949,Oleg Grigorievich,KOZYURA,Oleg Grigorievich KOZYURA,Koziura Oleg Grigorevich
S-RUS-TRANSL-33-ICAO-058,36803,Andrey Viktorovich,KUTEPOV,Andrey Viktorovich KUTEPOV,Kutepov Andrei Viktorovich
S-RUS-TRANSL-33-ICAO-059,36483,Pavel Vladimirovich,KUZMIN,Pavel Vladimirovich KUZMIN,Kuzmin Pavel Vladimirovich
S-RUS-TRANSL-33-ICAO-060,37335,Anna Yurievna,KUZNETSOVA,Anna Yurievna KUZNETSOVA,Kuznetsova Anna Iurevna
