queryId,groundTruthEntityIds,firstName,lastName,groundTruthFullName,searchPhrase
S-RUS-UKR-TRANSL-OFFICIAL-32-001,36763,Oleg Aleksandrovich,ALEKSEEV,Oleg Aleksandrovich ALEKSEEV,Alieksieiev Oleh
S-RUS-UKR-TRANSL-OFFICIAL-32-002,44540,Ina Vladimirovna,ALEKSINA,Ina Vladimirovna ALEKSINA,Alieksina Inna
S-RUS-UKR-TRANSL-OFFICIAL-32-003,32745,Alexey Alexandrovich,ALEXANDROV,Alexey Alexandrovich ALEXANDROV,Aleksandrov Oleksii
S-RUS-UKR-TRANSL-OFFICIAL-32-004,37844,Tatiana Vladimirovna,ARTYAKOVA,Tatiana Vladimirovna ARTYAKOVA,Artiakova Tetiana
S-RUS-UKR-TRANSL-OFFICIAL-32-005,30517,Alyaksandr Vyachaslavavich,ASTREIKA,Alyaksandr Vyachaslavavich ASTREIKA,Astreika Oleksandr
S-RUS-UKR-TRANSL-OFFICIAL-32-006,50216,Oleg Fedorovich,BARABANOV,Oleg Fedorovich BARABANOV,Barabanov Oleh
S-RUS-UKR-TRANSL-OFFICIAL-32-007,42196,Aleksei Vladimirovich,BASHKIROV,Aleksei Vladimirovich BASHKIROV,Bashkirov Oleksii
S-RUS-UKR-TRANSL-OFFICIAL-32-008,35226,Aleksandr Dmitrievich,BEGLOV,Aleksandr Dmitrievich BEGLOV,Biehlov Oleksandr
S-RUS-UKR-TRANSL-OFFICIAL-32-009,20920,Dmitry Anatolievich,BELIK,Dmitry Anatolievich BELIK,Bilyk Dmytro
S-RUS-UKR-TRANSL-OFFICIAL-32-010,35399,Anatoly Zhamalovich,BIFOV,Anatoly Zhamalovich BIFOV,Bifov Anatolii
S-RUS-UKR-TRANSL-OFFICIAL-32-011,35414,Vladimir Nikolayevich,BLOTSKY,Vladimir Nikolayevich BLOTSKY,Blotskyi Volodymyr
S-RUS-UKR-TRANSL-OFFICIAL-32-012,45862,Daniil Sergeyevich,BORSHCHEV,Daniil Sergeyevich BORSHCHEV,Borshchov Danylo
S-RUS-UKR-TRANSL-OFFICIAL-32-013,34577,Denis Aleksandrovich,BORTNIKOV,Denis Aleksandrovich BORTNIKOV,Bortnikov Denys
S-RUS-UKR-TRANSL-OFFICIAL-32-014,37812,Sergey Fateevich,BRILKA,Sergey Fateevich BRILKA,Brylka Serhii
S-RUS-UKR-TRANSL-OFFICIAL-32-015,37853,Vasily Yuryevich,BROVKO,Vasily Yuryevich BROVKO,Brovko Vasyl
S-RUS-UKR-TRANSL-OFFICIAL-32-016,37178,Nikolay Ivanovich,BULAEV,Nikolay Ivanovich BULAEV,Bulaiev Mykola
S-RUS-UKR-TRANSL-OFFICIAL-32-017,48774,Yaroslav Viktorovich,BULYGIN,Yaroslav Viktorovich BULYGIN,Bulyhin Yaroslav
S-RUS-UKR-TRANSL-OFFICIAL-32-018,37116,Alexandra Yurevna,BURIKO,Alexandra Yurevna BURIKO,Buryko Oleksandra
S-RUS-UKR-TRANSL-OFFICIAL-32-019,50272,Gleb Sergeyevich,CHERBOV,Gleb Sergeyevich CHERBOV,Cherbov Hlib
S-RUS-UKR-TRANSL-OFFICIAL-32-020,39215,Serhiy Mykolayovych,CHEREVKO,Serhiy Mykolayovych CHEREVKO,Cherevko Serhii
S-RUS-UKR-TRANSL-OFFICIAL-32-021,50230,Yuri Aleksandrovich,CHIVEL,Yuri Aleksandrovich CHIVEL,Chyvel Yurii
S-RUS-UKR-TRANSL-OFFICIAL-32-022,35463,Mikhail Gennadyevich,DELYAGIN,Mikhail Gennadyevich DELYAGIN,Deliahin Mykhailo
S-RUS-UKR-TRANSL-OFFICIAL-32-023,51948,Konstantin Ivanovich,DENISOV,Konstantin Ivanovich DENISOV,Denysov Kostiantyn
S-RUS-UKR-TRANSL-OFFICIAL-32-024,45702,Vadim Sergeevich,DOBROV,Vadim Sergeevich DOBROV,Dobrov Vadym
S-RUS-UKR-TRANSL-OFFICIAL-32-025,31454,Andrey Nikolayevich,DOLGOPOLOV,Andrey Nikolayevich DOLGOPOLOV,Dovhopolov Andrii
S-RUS-UKR-TRANSL-OFFICIAL-32-026,35610,Nikolay Aleksandrovich,DOLUDA,Nikolay Aleksandrovich DOLUDA,Doluda Mykola
S-RUS-UKR-TRANSL-OFFICIAL-32-027,35013,Viacheslav Yuryevich,DUBROVINSKIY,Viacheslav Yuryevich DUBROVINSKIY,Dubrovynskyi Viacheslav
S-RUS-UKR-TRANSL-OFFICIAL-32-028,51852,Aleksandr Valeryevich,DYUKOV,Aleksandr Valeryevich DYUKOV,Diukov Oleksandr
