run,metric,k,n,observed_pct,cp95_lo_pct,cp95_hi_pct,cluster_boot95_lo_pct,cluster_boot95_hi_pct,distinct_clusters
3.6-flash/medium,end_to_end_recall,1215,1216,99.92,99.54,100.0,99.75,100.0,150
3.6-flash/medium,conditional_adjudication_recall,1215,1215,100.0,99.7,100.0,100.0,100.0,150
3.6-flash/medium,no_false_alert_rate,894,894,100.0,99.59,100.0,100.0,100.0,1
3.6-flash/medium,hard_negative_no_alert,594,594,100.0,99.38,100.0,100.0,100.0,1
3.6-flash/medium,overall_accuracy,2109,2110,99.95,99.74,100.0,99.76,100.0,151
3.7-flash/low r1,end_to_end_recall,1215,1216,99.92,99.54,100.0,99.75,100.0,150
3.7-flash/low r1,conditional_adjudication_recall,1215,1215,100.0,99.7,100.0,100.0,100.0,150
3.7-flash/low r1,no_false_alert_rate,894,894,100.0,99.59,100.0,100.0,100.0,1
3.7-flash/low r1,hard_negative_no_alert,594,594,100.0,99.38,100.0,100.0,100.0,1
3.7-flash/low r1,overall_accuracy,2109,2110,99.95,99.74,100.0,99.76,100.0,151
3.7-flash/low r2,end_to_end_recall,1215,1216,99.92,99.54,100.0,99.75,100.0,150
3.7-flash/low r2,conditional_adjudication_recall,1215,1215,100.0,99.7,100.0,100.0,100.0,150
3.7-flash/low r2,no_false_alert_rate,894,894,100.0,99.59,100.0,100.0,100.0,1
3.7-flash/low r2,hard_negative_no_alert,594,594,100.0,99.38,100.0,100.0,100.0,1
3.7-flash/low r2,overall_accuracy,2109,2110,99.95,99.74,100.0,99.76,100.0,151
3.7-flash/low r3,end_to_end_recall,1215,1216,99.92,99.54,100.0,99.75,100.0,150
3.7-flash/low r3,conditional_adjudication_recall,1215,1215,100.0,99.7,100.0,100.0,100.0,150
3.7-flash/low r3,no_false_alert_rate,894,894,100.0,99.59,100.0,100.0,100.0,1
3.7-flash/low r3,hard_negative_no_alert,594,594,100.0,99.38,100.0,100.0,100.0,1
3.7-flash/low r3,overall_accuracy,2109,2110,99.95,99.74,100.0,99.76,100.0,151
