run,regime,specificity,polarity,n,recall_at_1_pct,retrieval_recall_30_pct,adjudication_recall_pct,end_to_end_recall_pct,false_alert_pct,retrieval_misses,adjudication_misses,rank1_overrides,multi_match,exact_set_pct,candidate_precision_pct,ms_p50,ms_p95,ms_p99,think_mean,think_median,out_mean,in_mean,tot_mean
3.6-flash/medium,lat,3-2,positive,150,99.33,100.0,100.0,100.0,,0,0,1,2,98.67,98.68,3623,5742,6771,433,375,84,807,1324
3.6-flash/medium,lat,3-3,positive,150,100.0,100.0,100.0,100.0,,0,0,0,0,100.0,100.0,3273,4865,6248,318,284,85,817,1221
3.6-flash/medium,icao,3-2,positive,151,97.35,100.0,100.0,100.0,,0,0,4,2,98.68,98.69,4107,6614,7480,496,443,90,806,1392
3.6-flash/medium,icao,3-3,positive,151,99.34,100.0,100.0,100.0,,0,0,1,0,100.0,100.0,3651,5323,6773,379,338,98,817,1293
3.6-flash/medium,french,3-2,positive,151,94.7,100.0,100.0,100.0,,0,0,8,2,98.68,98.69,4164,6079,7313,510,447,95,805,1410
3.6-flash/medium,french,3-3,positive,151,97.35,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,3944,5309,6838,422,388,108,815,1345
3.6-flash/medium,rus_ukr,3-2,positive,156,94.23,99.36,100.0,99.36,,1,0,8,2,98.08,98.73,4874,8137,11756,688,584,97,809,1593
3.6-flash/medium,rus_ukr,3-3,positive,156,97.44,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,4233,6141,6835,514,447,111,825,1450
3.6-flash/medium,ns,3-2,negative,150,,,,,0.0,,,,0,,,4505,5804,6548,675,680,57,813,1545
3.6-flash/medium,ns,3-3,negative,150,,,,,0.0,,,,0,,,4439,5997,6914,678,681,57,828,1563
3.6-flash/medium,ns_similar_nb,3-2,negative,148,,,,,0.0,,,,0,,,4815,6165,7178,699,720,68,808,1575
3.6-flash/medium,ns_similar_nb,3-3,negative,150,,,,,0.0,,,,0,,,4635,6177,6892,705,709,68,821,1594
3.6-flash/medium,ns_similar_part,3-2,negative,146,,,,,0.0,,,,0,,,5089,6401,7818,754,750,77,808,1639
3.6-flash/medium,ns_similar_part,3-3,negative,150,,,,,0.0,,,,0,,,5081,6599,7574,755,772,81,818,1654
3.7-flash/low r1,lat,3-2,positive,150,99.33,100.0,100.0,100.0,,0,0,1,2,98.67,98.68,1943,9796,13860,67,69,73,807,947
3.7-flash/low r1,lat,3-3,positive,150,100.0,100.0,100.0,100.0,,0,0,0,0,100.0,100.0,2092,9730,14460,52,60,77,817,946
3.7-flash/low r1,icao,3-2,positive,151,97.35,100.0,100.0,100.0,,0,0,4,2,98.68,98.69,1741,19039,127030,76,73,78,806,960
3.7-flash/low r1,icao,3-3,positive,151,99.34,100.0,100.0,100.0,,0,0,1,0,100.0,100.0,2292,9110,16019,76,80,84,817,977
3.7-flash/low r1,french,3-2,positive,151,94.7,100.0,100.0,100.0,,0,0,8,2,98.68,98.69,1919,8330,41950,90,87,83,805,977
3.7-flash/low r1,french,3-3,positive,151,97.35,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,2101,9419,12102,89,93,88,815,993
3.7-flash/low r1,rus_ukr,3-2,positive,156,94.23,99.36,100.0,99.36,,1,0,8,2,98.08,98.73,2121,7618,12542,102,96,85,809,996
3.7-flash/low r1,rus_ukr,3-3,positive,156,97.44,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,1905,4212,6883,110,107,90,825,1025
3.7-flash/low r1,ns,3-2,negative,150,,,,,0.0,,,,0,,,1624,3882,6565,89,80,42,813,944
3.7-flash/low r1,ns,3-3,negative,150,,,,,0.0,,,,0,,,1545,3779,4138,86,68,45,828,958
3.7-flash/low r1,ns_similar_nb,3-2,negative,148,,,,,0.0,,,,0,,,1685,4038,7652,126,107,48,808,983
3.7-flash/low r1,ns_similar_nb,3-3,negative,150,,,,,0.0,,,,0,,,1647,3764,4864,99,90,51,821,971
3.7-flash/low r1,ns_similar_part,3-2,negative,146,,,,,0.0,,,,0,,,1757,4033,5990,155,143,57,808,1020
3.7-flash/low r1,ns_similar_part,3-3,negative,150,,,,,0.0,,,,0,,,1731,3884,5884,130,121,63,818,1011
3.7-flash/low r2,lat,3-2,positive,150,99.33,100.0,100.0,100.0,,0,0,1,2,98.67,98.68,1642,4214,5375,70,70,72,807,948
3.7-flash/low r2,lat,3-3,positive,150,100.0,100.0,100.0,100.0,,0,0,0,0,100.0,100.0,1638,4000,4334,55,60,77,817,950
3.7-flash/low r2,icao,3-2,positive,151,97.35,100.0,100.0,100.0,,0,0,4,2,98.68,98.69,1760,9959,14570,78,76,78,806,962
3.7-flash/low r2,icao,3-3,positive,151,99.34,100.0,100.0,100.0,,0,0,1,0,100.0,100.0,1713,4241,9132,72,78,84,817,972
3.7-flash/low r2,french,3-2,positive,151,94.7,100.0,100.0,100.0,,0,0,8,2,98.68,98.69,3026,20582,25078,88,89,83,805,976
3.7-flash/low r2,french,3-3,positive,151,97.35,100.0,100.0,100.0,,0,0,4,0,100.0,100.0,1741,4316,7941,92,93,87,815,994
