run,regime,paired_units,distinct_entities,r1_2part_pct,r1_3part_pct,risk_diff_pp,cluster_boot95_lo_pp,cluster_boot95_hi_pp,discordant_3part_only,discordant_2part_only,mcnemar_exact_p,entities_with_discordance
3.6-flash/medium,lat,150,150,99.33,100.0,0.67,0.0,2.0,1,0,1.0,1
3.6-flash/medium,icao,150,150,97.33,99.33,2.0,0.0,4.67,3,0,0.25,3
3.6-flash/medium,french,150,150,94.67,97.33,2.67,0.67,5.33,4,0,0.125,4
3.6-flash/medium,rus_ukr,150,150,94.0,97.33,3.33,0.67,6.67,5,0,0.0625,5
3.6-flash/medium,POOLED,600,150,96.33,98.5,2.17,0.83,4.0,13,0,0.000244,9
3.7-flash/low r1,lat,150,150,99.33,100.0,0.67,0.0,2.0,1,0,1.0,1
3.7-flash/low r1,icao,150,150,97.33,99.33,2.0,0.0,4.67,3,0,0.25,3
3.7-flash/low r1,french,150,150,94.67,97.33,2.67,0.67,5.33,4,0,0.125,4
3.7-flash/low r1,rus_ukr,150,150,94.0,97.33,3.33,0.67,6.67,5,0,0.0625,5
3.7-flash/low r1,POOLED,600,150,96.33,98.5,2.17,0.83,4.0,13,0,0.000244,9
3.7-flash/low r2,lat,150,150,99.33,100.0,0.67,0.0,2.0,1,0,1.0,1
3.7-flash/low r2,icao,150,150,97.33,99.33,2.0,0.0,4.67,3,0,0.25,3
3.7-flash/low r2,french,150,150,94.67,97.33,2.67,0.67,5.33,4,0,0.125,4
3.7-flash/low r2,rus_ukr,150,150,94.0,97.33,3.33,0.67,6.67,5,0,0.0625,5
3.7-flash/low r2,POOLED,600,150,96.33,98.5,2.17,0.83,4.0,13,0,0.000244,9
3.7-flash/low r3,lat,150,150,99.33,100.0,0.67,0.0,2.0,1,0,1.0,1
3.7-flash/low r3,icao,150,150,97.33,99.33,2.0,0.0,4.67,3,0,0.25,3
3.7-flash/low r3,french,150,150,94.67,97.33,2.67,0.67,5.33,4,0,0.125,4
3.7-flash/low r3,rus_ukr,150,150,94.0,97.33,3.33,0.67,6.67,5,0,0.0625,5
3.7-flash/low r3,POOLED,600,150,96.33,98.5,2.17,0.83,4.0,13,0,0.000244,9
